Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total,,,
Ministry of Defence,Ministry of Defence,06/08/2021,Design services and minor equipment purchases,Air Command,CORPORATE DOCUMENT SERVICES  LIMITED,LS11 5AS,572214,Equipment support non-project costs,£30.60,,,
Ministry of Defence,Ministry of Defence,06/08/2021,IT and communication services,Army Command,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300006986,Telephone minor equipment below capitalisation threshold,£27.21,,,
Ministry of Defence,Ministry of Defence,06/08/2021,IT and communication services,Defence Equipment and Support,BOXXE LIMITED,YO31 7RE,572117,Information technology services,£14.40,,,
Ministry of Defence,Ministry of Defence,06/08/2021,IT and communication services,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300006986,Line + telephone rental including commercial charge for use of radio frequencies,£14.17,,,
Ministry of Defence,Ministry of Defence,06/08/2021,Purchase of inventory and services ,Strategic Command,AAH PHARMACEUTICALS LTD,CV2 2TX,572275,Cost of other material consumed,£7.06,,,
Ministry of Defence,Ministry of Defence,05/08/2021,Purchase of buildings and military equipment ,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2000017953,Single use military equipment asset under construction - capital in year addition,"£7,268,107.95",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Spend on Inventory - General,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,571894,Spend on Inventory - General,"£1,798,552.37",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Inventory Accruals,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,571894,Contract Expenditure on Capital Spares that are managed by DE+S Inventory Systems.,"£876,144.74",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,571830,Equipment support project costs,"£641,789.99",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,DEFENCE ELECTRONIC AND COMPONENTS AGENCY,CH5 2LS,571782,Purchase of medical support equipment excluding that supplied from the inventory system,"£587,089.75",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Food and clothing,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,571894,Cost of food purchases,"£524,218.13",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Estate management,Army Command,BEAVERFIT LIMITED,SY6 6NJ,571828,Works - estate management,"£364,975.46",,,
Ministry of Defence,Ministry of Defence,05/08/2021,General services and support,Defence Equipment and Support,ATLAS ELEKTRONIK UK LIMITED,DT2 8ZB,572010,Defence equipment CLS/IOS service charge,"£293,296.05",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,UNITED TECHNOLOGIES CORPORATION,,2000017954,Equipment support non-project costs,"£236,839.26",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE (DEFENCE) LIMITED,BS32 4NH,6000064035,Estate management,"£225,187.37",,,
Ministry of Defence,Ministry of Defence,05/08/2021,"Purchase of munitions, other inventory or fuel",Defence Equipment and Support,CERTAS ENERGY UK LIMITED,WA3 6XG,572057,Raw materials and consumable ground diesel inventory purchased,"£224,600.55",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Externally delivered education and training,Army Command,THE COLLEGES PARTNERSHIP LIMITED,DT11 8ST,571873,External military training ,"£208,945.65",,,
Ministry of Defence,Ministry of Defence,05/08/2021,International contributions,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300006980,Defence military assistance fund international subscriptions and other payments,"£196,140.80",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,MOTT MACDONALD LTD,BS1 6FL,571935,Fiscal asset under construction - capital in year addition,"£179,014.31",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,MORGAN SINDALL CONSTRUCTION & INFRASTRUCTURE LTD,CV21 2DW,571892,Fiscal asset under construction - capital in year addition,"£159,482.88",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Externally delivered education and training,Army Command,BABCOCK TRAINING LIMITED,RG2 9NH,571847,External military training ,"£154,606.15",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Fuel for military use,Army Command,CERTAS ENERGY UK LIMITED,WA3 6XG,572057,Cost of ground diesel fuel consumed,"£123,698.16",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Food and clothing,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,571894,Cost of food services,"£120,372.71",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE (DEFENCE) LIMITED,BS32 4NH,6000064035,Fiscal asset under construction - capital in year addition,"£82,800.22",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,571980,Utilities consumed - gas,"£73,968.06",,,
Ministry of Defence,Ministry of Defence,05/08/2021,IT and communication services,Strategic Command,ICORE LIMITED,EC2V 8AU,571841,Information technology services,"£73,560.00",,,
Ministry of Defence,Ministry of Defence,05/08/2021,IT and communication services,Navy Command,GALTEC SOLUTIONS LIMITED,LS18 4DF,572038,Computer equipment costing below the capitalisation threshold,"£70,050.96",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Development costs for military equipment,Army Command,CUBIC DEFENCE UK LTD.,RH1 5LA,571872,Intangible single use military equipment asset  - in year capital addition,"£59,039.28",,,
Ministry of Defence,Ministry of Defence,05/08/2021,IT and communication services,Navy Command,BOXXE LIMITED,YO31 7RE,571812,Computer equipment costing below the capitalisation threshold,"£50,651.06",,,
Ministry of Defence,Ministry of Defence,05/08/2021,IT and communication services,Strategic Command,BOXXE LIMITED,YO31 7RE,571812,Computer equipment costing below the capitalisation threshold,"£50,107.63",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Inventory Accruals,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,571842,Contract Expenditure on Capital Spares that are managed by DE+S Inventory Systems.,"£48,390.43",,,
Ministry of Defence,Ministry of Defence,05/08/2021,IT and communication services,Army Command,BOXXE LIMITED,YO31 7RE,571812,IT Services -internal costs,"£45,709.60",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,RAMBOLL UK LIMITED,SE1 8NW,571997,Fiscal asset under construction - capital in year addition,"£41,733.06",,,
Ministry of Defence,Ministry of Defence,05/08/2021,IT and communication services,Strategic Command,CYIENT EUROPE LIMITED,BS27 3EB,571868,Computer equipment costing below the capitalisation threshold,"£37,413.60",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Spend on Inventory - General,Defence Equipment and Support,AIRBUS HELICOPTERS UK LIMITED,OX5 1QZ,6000064023,Spend on Inventory - General,"£36,822.42",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE (DEFENCE) LIMITED,B70 1DA,571971,Estate management,"£35,924.13",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,KIER CONSTRUCTION LTD,CB25 9PD,572022,Works - estate management,"£31,637.80",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Fuel for military use,Air Command,CERTAS ENERGY UK LIMITED,WA3 6XG,572057,Cost of ground diesel fuel consumed,"£30,121.44",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Fuel for military use,Defence Equipment and Support,CERTAS ENERGY UK LIMITED,WA3 6XG,572057,Cost of ground diesel fuel consumed,"£30,012.17",,,
Ministry of Defence,Ministry of Defence,05/08/2021,General services and support,Strategic Command,ITS TESTING SERVICES (UK) LIMITED,GU14 0LX,571967,Purchase of defence support equipment below capitalisation threshold of £25k.,"£28,374.94",,,
Ministry of Defence,Ministry of Defence,05/08/2021,IT and communication services,Strategic Command,CENTURYLINK LIMITED,RG41 5TP,2000017951,Information technology services,"£25,973.27",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,571894,Purchase of medical support equipment excluding that supplied from the inventory system,"£23,078.96",,,
Ministry of Defence,Ministry of Defence,05/08/2021,IT and communication services,Army Command,AKHTER COMPUTERS LIMITED,CM18 7PN,571851,Computer equipment costing below the capitalisation threshold,"£17,907.87",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Medical treatment & stores and welfare services,Strategic Command,AAH PHARMACEUTICALS LTD,CV2 2TX,571919,Medical inventory and services excluding the inventory system,"£16,827.01",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Externally delivered education and training,DES Bespoke Trading Entity,EXPLOSIVE LEARNING SOLUTIONS LIMITED,OX11 0SG,572004,External training - civilian,"£16,291.00",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Purchase of buildings and military equipment ,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,571830,Single use military equipment asset under construction - capital in year addition,"£16,267.87",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Medical treatment & stores and welfare services,Defence Equipment and Support,AAH PHARMACEUTICALS LTD,CV2 2TX,571919,Medical inventory and services excluding the inventory system,"£14,649.88",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Medical treatment & stores and welfare services,Strategic Command,AAH PHARMACEUTICALS LTD,CV2 2TX,571919,Estate management,"£14,521.45",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Inventory Accruals,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,571830,Contract Expenditure on Capital Spares that are managed by DE+S Inventory Systems.,"£14,364.66",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Purchase of inventory and services ,Defence Equipment and Support,TERBERG DTS (UK) LIMITED,HX5 9DA,571961,Cost of other material consumed,"£13,396.07",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Spend on Inventory - General,Defence Equipment and Support,TERBERG DTS (UK) LIMITED,HX5 9DA,571961,Spend on Inventory - General,"£13,196.52",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Fuel for military use,Navy Command,CERTAS ENERGY UK LIMITED,WA3 6XG,572057,Cost of ground diesel fuel consumed,"£12,559.14",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Externally delivered education and training,Head Office and Corporate Services,EXPLOSIVE LEARNING SOLUTIONS LIMITED,OX11 0SG,572004,External training - civilian,"£11,848.00",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Payment of utilities,Army Command,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,571980,Utilities consumed - gas,"£10,398.72",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,AIRBUS HELICOPTERS UK LIMITED,OX5 1QZ,6000064023,Equipment support project costs,"£9,761.21",,,
Ministry of Defence,Ministry of Defence,05/08/2021,IT and communication services,Air Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,572046,Computer equipment costing below the capitalisation threshold,"£9,757.20",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Food and clothing,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,571894,Cost of clothing and textile services received,"£6,314.85",,,
Ministry of Defence,Ministry of Defence,05/08/2021,IT and communication services,DEFENCE INFRASTRUCTURE ORGANISATION,CENTURYLINK LIMITED,RG41 5TP,2000017951,Information technology services,"£5,333.28",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Research and development,Head Office and Corporate Services,CENTURYLINK LIMITED,RG41 5TP,2000017951,Reasearch+Development Frasc,"£4,829.09",,,
Ministry of Defence,Ministry of Defence,05/08/2021,IT and communication services,Army Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,572046,Computer equipment costing below the capitalisation threshold,"£4,215.90",,,
Ministry of Defence,Ministry of Defence,05/08/2021,IT and communication services,Air Command,AKHTER COMPUTERS LIMITED,CM18 7PN,571851,Computer equipment costing below the capitalisation threshold,"£4,091.80",,,
Ministry of Defence,Ministry of Defence,05/08/2021,"Transportation of personnel, freight and travel expenses",Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300006983,Military air travel costs for short term detached duty,"£3,344.61",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Purchase of buildings and military equipment ,Strategic Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,572046,Fiscal asset under construction - capital in year addition,"£1,848.00",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Fees for professional services,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300006980,Fees for professional services excluding legal fees,"£1,791.15",,,
Ministry of Defence,Ministry of Defence,05/08/2021,IT and communication services,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300006983,Line + telephone rental including commercial charge for use of radio frequencies,"£1,443.17",,,
Ministry of Defence,Ministry of Defence,05/08/2021,IT and communication services,Army Command,CENTURYLINK LIMITED,RG41 5TP,2000017951,Information technology services,"£1,378.50",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Official entertainment and hospitality,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300006983,Entertainment + hospitality,"£1,333.86",,,
Ministry of Defence,Ministry of Defence,05/08/2021,IT and communication services,Air Command,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300006982,Line + telephone rental including commercial charge for use of radio frequencies,"£1,227.94",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Fees for professional services,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300006982,Fees for professional services excluding legal fees,"£1,161.31",,,
Ministry of Defence,Ministry of Defence,05/08/2021,Inventory Accruals,Defence Equipment and Support,AIRBUS HELICOPTERS UK LIMITED,OX5 1QZ,6000064023,Contract Expenditure on Capital Spares that are managed by DE+S Inventory Systems.,"£1,106.59",,,
Ministry of Defence,Ministry of Defence,05/08/2021,IT and communication services,Navy Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,572046,Computer equipment costing below the capitalisation threshold,£986.40,,,
Ministry of Defence,Ministry of Defence,05/08/2021,Purchase of inventory and services ,Defence Equipment and Support,XMA LTD,NG11 7EP,572039,Cost of other material consumed,£927.71,,,
Ministry of Defence,Ministry of Defence,05/08/2021,Medical treatment & stores and welfare services,Strategic Command,AAH PHARMACEUTICALS LTD,CV2 2TX,571919,Development costs for military equipment,£926.88,,,
Ministry of Defence,Ministry of Defence,05/08/2021,IT and communication services,Air Command,CENTURYLINK LIMITED,RG41 5TP,2000017951,Information technology services,£803.84,,,
Ministry of Defence,Ministry of Defence,05/08/2021,Official entertainment and hospitality,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300006982,Entertainment + hospitality,£769.49,,,
Ministry of Defence,Ministry of Defence,05/08/2021,Medical treatment & stores and welfare services,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300006982,Medical-non hospital treatment,£719.44,,,
Ministry of Defence,Ministry of Defence,05/08/2021,"Transportation of personnel, freight and travel expenses",Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300006982,Military short term detached duty,£636.83,,,
Ministry of Defence,Ministry of Defence,05/08/2021,Medical treatment & stores and welfare services,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300006982,Schools + community relations initiatives,£590.40,,,
Ministry of Defence,Ministry of Defence,05/08/2021,Purchase of inventory and services ,Air Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,572046,Cost of other material consumed,£552.00,,,
Ministry of Defence,Ministry of Defence,05/08/2021,Building maintenance and accommodation stores,Army Command,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300006980,Building maintenance accommodation inventory,£545.96,,,
Ministry of Defence,Ministry of Defence,05/08/2021,IT and communication services,Strategic Command,AKHTER COMPUTERS LIMITED,CM18 7PN,571851,Computer equipment costing below the capitalisation threshold,£462.00,,,
Ministry of Defence,Ministry of Defence,05/08/2021,Fuel for military use,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300006982,Cost of ground diesel fuel consumed,£449.10,,,
Ministry of Defence,Ministry of Defence,05/08/2021,"Transportation of personnel, freight and travel expenses",Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300006980,Military short term detached duty,£380.58,,,
Ministry of Defence,Ministry of Defence,05/08/2021,IT and communication services,Air Command,GALTEC SOLUTIONS LIMITED,LS18 4DF,572038,Computer equipment costing below the capitalisation threshold,£352.80,,,
Ministry of Defence,Ministry of Defence,05/08/2021,Spend on Inventory - General,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,571842,Spend on Inventory - General,£351.60,,,
Ministry of Defence,Ministry of Defence,05/08/2021,IT and communication services,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300006982,Line + telephone rental including commercial charge for use of radio frequencies,£342.78,,,
Ministry of Defence,Ministry of Defence,05/08/2021,Medical treatment & stores and welfare services,Strategic Command,AAH PHARMACEUTICALS LTD,CV2 2TX,571919,Fees for Professional Services,£337.78,,,
Ministry of Defence,Ministry of Defence,05/08/2021,IT and communication services,Navy Command,AKHTER COMPUTERS LIMITED,CM18 7PN,571851,Computer equipment costing below the capitalisation threshold,£308.64,,,
Ministry of Defence,Ministry of Defence,05/08/2021,Medical treatment & stores and welfare services,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300006983,Medical health services,£265.82,,,
Ministry of Defence,Ministry of Defence,05/08/2021,IT and communication services,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300006982,Computer equipment costing below the capitalisation threshold,£264.41,,,
Ministry of Defence,Ministry of Defence,05/08/2021,IT and communication services,DEFENCE INFRASTRUCTURE ORGANISATION,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,572046,Computer equipment costing below the capitalisation threshold,£216.00,,,
Ministry of Defence,Ministry of Defence,05/08/2021,IT and communication services,Head Office and Corporate Services,GALTEC SOLUTIONS LIMITED,LS18 4DF,572038,Computer equipment costing below the capitalisation threshold,£213.60,,,
Ministry of Defence,Ministry of Defence,05/08/2021,IT and communication services,Army Command,GALTEC SOLUTIONS LIMITED,LS18 4DF,572038,Computer equipment costing below the capitalisation threshold,£198.00,,,
Ministry of Defence,Ministry of Defence,05/08/2021,"Adminstration, claims, compensation and awards",Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300006980,Cost of claims/compensation and related expenses against MOD,£185.34,,,
Ministry of Defence,Ministry of Defence,05/08/2021,Design services and minor equipment purchases,Army Command,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300006980,Equipment support non-project costs,£180.00,,,
Ministry of Defence,Ministry of Defence,05/08/2021,Payment of utilities,Air Command,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,571980,Utilities consumed - gas,£152.87,,,
Ministry of Defence,Ministry of Defence,05/08/2021,"Transportation of personnel, freight and travel expenses",Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300006980,Civilian short term detached duty,£140.91,,,
Ministry of Defence,Ministry of Defence,05/08/2021,Medical treatment & stores and welfare services,Air Command,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300006982,Medical inventory and services excluding the inventory system,£132.88,,,
Ministry of Defence,Ministry of Defence,05/08/2021,Transport hire charges,Air Command,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300006982,Transport other hire charge,£116.33,,,
Ministry of Defence,Ministry of Defence,05/08/2021,IT and communication services,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300006980,Computer equipment costing below the capitalisation threshold,£103.73,,,
Ministry of Defence,Ministry of Defence,05/08/2021,Fuel for military use,Air Command,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300006982,Cost of ground diesel fuel consumed,£88.97,,,
Ministry of Defence,Ministry of Defence,05/08/2021,Medical treatment & stores and welfare services,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300006982,Medical inventory and services excluding the inventory system,£81.48,,,
Ministry of Defence,Ministry of Defence,05/08/2021,Fuel for military use,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300006983,Cost of ground diesel fuel consumed,£75.40,,,
Ministry of Defence,Ministry of Defence,05/08/2021,IT and communication services,Army Command,BOXXE LIMITED,YO31 7RE,571812,Computer equipment costing below the capitalisation threshold,£61.09,,,
Ministry of Defence,Ministry of Defence,05/08/2021,Fuel for military use,Army Command,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300006980,Oil and lubricants consumed excluding those from the inventory system,£59.07,,,
Ministry of Defence,Ministry of Defence,05-Aug-21,Administration,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300006980,General administration,£26.49,,,
Ministry of Defence,Ministry of Defence,05/08/2021,IT and communication services,Head Office and Corporate Services,XMA LTD,NG11 7EP,572039,Computer equipment costing below the capitalisation threshold,£26.46,,,
Ministry of Defence,Ministry of Defence,05/08/2021,Payment of utilities,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300006980,Utilities consumed - electricity,£23.36,,,
Ministry of Defence,Ministry of Defence,05/08/2021,IT and communication services,Head Office and Corporate Services,AKHTER COMPUTERS LIMITED,CM18 7PN,571851,Computer equipment costing below the capitalisation threshold,£21.60,,,
Ministry of Defence,Ministry of Defence,05/08/2021,Food and clothing,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300006982,Cost of purchasing and repairing clothing,£3.84,,,
Ministry of Defence,Ministry of Defence,04/08/2021,Property leases,Army Command,DEFENCE TRAINING SERVICES LIMITED,BA2 3RH,571733,Property non dwellings private finance initiative - service concession arrangement service charge,"£2,012,236.80",,,
Ministry of Defence,Ministry of Defence,04/08/2021,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,571466,Fiscal asset under construction - capital in year addition,"£1,820,783.74",,,
Ministry of Defence,Ministry of Defence,04/08/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,6000063982,Estate management,"£1,079,178.90",,,
Ministry of Defence,Ministry of Defence,04/08/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,571466,Estate management,"£855,703.59",,,
Ministry of Defence,Ministry of Defence,04/08/2021,Rental of plant and machinery,Defence Equipment and Support,ALC (SPC) LIMITED,OX25 2LD,571729,Plant + machinery private finance initiative - service concession arrangements service charge,"£775,358.37",,,
Ministry of Defence,Ministry of Defence,04/08/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,571466,Works services - excluding United States forces/NATO + married quarters,"£625,949.99",,,
Ministry of Defence,Ministry of Defence,04/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,AIRBUS HELICOPTERS UK LIMITED,OX5 1QZ,6000063983,Equipment support project costs,"£501,444.10",,,
Ministry of Defence,Ministry of Defence,04/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,SAFRAN HELICOPTER ENGINES UK LIMITED,PO15 5RL,6000063985,Equipment support non-project costs,"£402,546.87",,,
Ministry of Defence,Ministry of Defence,04/08/2021,IT and communication services,Strategic Command,BOXXE LIMITED,YO31 7RE,571477,Information technology services,"£257,702.52",,,
Ministry of Defence,Ministry of Defence,04/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,ATKINS LIMITED,WR5 1WS,571726,Post design services which are not capitalised,"£200,700.00",,,
Ministry of Defence,Ministry of Defence,04/08/2021,IT and communication services,Army Command,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,571406,Information technology services,"£177,138.53",,,
Ministry of Defence,Ministry of Defence,04/08/2021,Fees for professional services,Strategic Command,TPG SERVICES LIMITED,BA9 9FE,571727,Fees for professional services excluding legal fees,"£165,956.32",,,
Ministry of Defence,Ministry of Defence,04/08/2021,Externally delivered education and training,Air Command,META MISSION DATA LIMITED,WR14 3SZ,571653,External training - civilian,"£136,244.00",,,
Ministry of Defence,Ministry of Defence,04/08/2021,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,TETRA TECH MANAGEMENT SERVICES LIMITED,L2 6RE,571456,Fiscal asset under construction - capital in year addition,"£135,723.07",,,
Ministry of Defence,Ministry of Defence,04/08/2021,IT and communication services,Navy Command,EITEC LTD,WC1N 3AX,571574,Information technology services,"£135,108.38",,,
Ministry of Defence,Ministry of Defence,04/08/2021,Fees for professional services,Strategic Command,TPG SERVICES LIMITED,BA9 9FE,571727,FATS Through Life Support,"£119,989.62",,,
Ministry of Defence,Ministry of Defence,04/08/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,RAMBOLL UK LIMITED,SE1 8NW,571775,Works - estate management,"£111,294.09",,,
Ministry of Defence,Ministry of Defence,04/08/2021,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,ARCADIS LLP,N1 9AB,571503,Fiscal asset under construction - capital in year addition,"£104,023.08",,,
Ministry of Defence,Ministry of Defence,04/08/2021,GCB001 - Output VAT Payment,DIO-SSG,XXX HMRC VAT RETURNS,SS99 1AA,AP00521PC9192,GCB001 - Output VAT Payment,"£93,652.10",,,
Ministry of Defence,Ministry of Defence,04/08/2021,Building maintenance and accommodation stores,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,571466,Works - civil estate,"£84,155.73",,,
Ministry of Defence,Ministry of Defence,04/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,NPL MANAGEMENT LIMITED,TW11 0LW,571712,Equipment support project costs,"£83,177.55",,,
Ministry of Defence,Ministry of Defence,04/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,AIRBUS HELICOPTERS UK LIMITED,OX5 1QZ,571747,Equipment support project costs,"£72,907.20",,,
Ministry of Defence,Ministry of Defence,04/08/2021,IT and communication services,Army Command,ACTICA CONSULTING LIMITED,GU2 7RF,571409,Information technology services,"£71,385.00",,,
Ministry of Defence,Ministry of Defence,04/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,PROPSHOP LTD,CB22 4QR,571554,Equipment support non-project costs,"£65,846.95",,,
