Unique Identifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Supplier Name,Transparency Invoice Amount
July Tranparency 414,09/07/2021,DIG RBC - COMMERCIAL COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,TATA CONSULTANCY SERVICES LTD,"£61,910"
July Tranparency 415,08/07/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,BT GLOBAL SERVICE SOLUTIONS,"£61,671"
July Tranparency 416,23/07/2021,CHG REDUCING PARENTAL CONFLICT - CHES CPA3,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,TAVISTOCK RELATIONSHIPS,"£61,294"
July Tranparency 417,05/07/2021,DIG TECH PLATFORM CIS BAU,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IBM UNITED KINGDOM LTD,"£61,156"
July Tranparency 418,12/07/2021,DIG HARDWARE ASSET MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,COMPUTACENTER UK LTD,"£60,886"
July Tranparency 419,09/07/2021,DIG TECHNOLOGY ASSET MANAGEMENT PROJECTS,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,BEDIGITAL,"£60,500"
July Tranparency 420,15/07/2021,DIG TECHNOLOGY ASSET MANAGEMENT PROJECTS,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,BEDIGITAL,"£60,500"
July Tranparency 421,29/07/2021,DIG IDENTITY SERVICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CAVENDISH WOOD LTD,"£60,306"
July Tranparency 422,20/07/2021,CHG DWP RE-IMAGINE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£60,046"
July Tranparency 423,01/07/2021,WWEG WP FG CEP ESF1420 HERTFORDSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,REED IN PARTNERSHIP LTD,"£59,728"
July Tranparency 424,22/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,FLOURISH - ESF,"£59,069"
July Tranparency 425,27/07/2021,DIG NOTIFICATION SERVICE PROJECT DELP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£58,874"
July Tranparency 426,13/07/2021,SE SPD PRINT,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - PRINTING,ALLIED PUBLICITY SERVICES MANCHESTER LTD,"£58,010"
July Tranparency 427,14/07/2021,DIG TRANSFORMATION ECSS CP AND IDV - DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,HIPPO DIGITAL LTD,"£57,950"
July Tranparency 428,23/07/2021,OPS DD DIRECTOR,EXP - PURCHASE OF GOODS/SERVICES - CLINICAL & MEDICAL,ADVANCED PERSONNEL MANAGEMENT GROUP UK LTD,"£57,796"
July Tranparency 429,01/07/2021,DWP SE SPD VRS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - INTERPRETATION,THE BIG WORD,"£57,746"
July Tranparency 430,12/07/2021,P&C LEARNING DESIGN SERVICE EXCELLENCE & ODP,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,KPMG,"£57,628"
July Tranparency 431,12/07/2021,DIG EUCS-06 DASHBOARD,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,REDESMERE LTD,"£57,456"
July Tranparency 432,14/07/2021,DIG EMAIL & OFFICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,QBIT KLOUD LTD,"£57,375"
July Tranparency 433,08/07/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£57,362"
July Tranparency 434,23/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,INDUSTRY SPECIALIST TEACHING & KNOWLEDGE EXCHANGE PROGR,"£57,227"
July Tranparency 435,23/07/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,MACE LTD,"£57,158"
July Tranparency 436,07/07/2021,DIG - NETWORK TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,UBDS IT CONSULTING LTD,"£56,583"
July Tranparency 437,14/07/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,BT GLOBAL SERVICES,"£55,880"
July Tranparency 438,16/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,DEVELOPING LEADERS,"£55,674"
July Tranparency 439,12/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,DURHAM COUNTY COUNCIL,"£55,413"
July Tranparency 440,14/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,GRESHAM OFFICE FURNITURE LTD,"£54,932"
July Tranparency 441,09/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£54,651"
July Tranparency 442,14/07/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,BT GLOBAL SERVICES,"£54,149"
July Tranparency 443,26/07/2021,DIG TECH PLATFORM CIS BAU,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IBM UNITED KINGDOM LTD,"£54,038"
July Tranparency 444,20/07/2021,DIG INTEGRATION TRANSFORMATION - EVENT PLATFORM,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,ZALAM LTD,"£54,000"
July Tranparency 445,14/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£53,953"
July Tranparency 446,21/07/2021,DIG BULK PRINT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,WILLIAMS LEA CCM LTD,"£53,488"
July Tranparency 447,12/07/2021,DWP UCO DIRECTOR OUTSOURCING,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,BT GLOBAL SERVICES,"£53,215"
July Tranparency 448,01/07/2021,"DIG ENGAGEMENT, ADOPTION & RELEASE SERVICE",EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,UNIFII,"£53,102"
July Tranparency 449,05/07/2021,FG ESTATES TOM DEL A SALARY COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,MCBAINS LTD,"£52,678"
July Tranparency 450,29/07/2021,DIG TECH SERVICES SERVICES IN LIEU,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£52,330"
July Tranparency 451,07/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,POSITIVE FUTURES FOR BIRMINGHAM & SOLIHULL,"£51,777"
July Tranparency 452,22/07/2021,CMG OPS EXTERNAL CONTRACTS/SLAS INDESSER,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - DEBT COLLECTION,INDESSER,"£51,631"
July Tranparency 453,12/07/2021,HR BUSINESS MGMT UNIT,Exp - Purchase Of Goods/Services - Consultancy,PA CONSULTING SERVICES LTD,"£51,494"
July Tranparency 454,05/07/2021,DIG ECMS PROJECT,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,KONICA MINOLTA BUSINESS SOLUTIONS UK LTD,"£50,971"
July Tranparency 455,27/07/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£50,807"
July Tranparency 456,08/07/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,BT GLOBAL SERVICE SOLUTIONS,"£50,541"
July Tranparency 457,08/07/2021,DIG - SECURITY PROJECTS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,COMPUTACENTER UK LTD,"£50,538"
July Tranparency 458,06/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,THE BIG LOTTERY FUND,"£50,391"
July Tranparency 459,23/07/2021,FG CS HS PIP LOT 2,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP GP FACTUAL,CAPITA BUSINESS SERVICES LTD,"£50,183"
July Tranparency 460,23/07/2021,CHG FES WORK MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,TATA CONSULTANCY SERVICES LTD,"£50,076"
July Tranparency 461,19/07/2021,DIG DDSP BUSINESS SERVICES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£50,034"
July Tranparency 462,19/07/2021,EP CEP PHASE 2 NEA NB CPA03 CENTRAL ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,STANDGUIDE LTD,"£49,701"
July Tranparency 463,08/07/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,BT GLOBAL SERVICE SOLUTIONS,"£49,300"
July Tranparency 464,12/07/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,FES SUPPORT SERVICES LTD,"£49,259"
July Tranparency 465,23/07/2021,DIG CHANNELS SERVICES IN LIEU,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,TATA CONSULTANCY SERVICES LTD,"£49,200"
July Tranparency 466,13/07/2021,CHG DWP RE-IMAGINE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£48,946"
July Tranparency 467,09/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£48,743"
July Tranparency 468,08/07/2021,DIG - TOOLING MAINTENANCE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,FUSION BUSINESS SOLUTIONS (UK) LTD,"£47,880"
July Tranparency 469,30/07/2021,OPS DS ATW DISC EP NATIONAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,INGEUS UK LTD,"£47,780"
July Tranparency 470,29/07/2021,DIG O365 PLATFORM SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,SOFTCAT PLC,"£47,395"
July Tranparency 471,12/07/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,MORRIS & SPOTTISWOOD,"£47,354"
July Tranparency 472,15/07/2021,DIG ON PREMISES HOSTING REFRESH,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,ACCENTURE UK LTD,"£47,336"
July Tranparency 473,30/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,STEP AHEAD INTO WORK,"£47,125"
July Tranparency 474,15/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,DURHAM COUNTY COUNCIL,"£47,022"
July Tranparency 475,14/07/2021,DIG EMAIL & OFFICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,QBIT KLOUD LTD,"£46,980"
July Tranparency 476,12/07/2021,DIG EUCS-06 DASHBOARD,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,REDESMERE LTD,"£46,877"
July Tranparency 477,08/07/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,BT GLOBAL SERVICE SOLUTIONS,"£46,861"
July Tranparency 478,12/07/2021,HR OHS,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL - OCCUPATIONAL HEALTH SERVICE,PAM GROUP,"£46,683"
July Tranparency 479,01/07/2021,DIG FED CFCD IT SPEND,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,HOME OFFICE,"£46,283"
July Tranparency 480,20/07/2021,CHG REDUCING PARENTAL CONFLICT,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - RES'H/EVAL,IFF RESEARCH LTD,"£46,094"
July Tranparency 481,19/07/2021,EP CEP PHASE 2 NEA NB CPA07 NORTH EAST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,GATESHEAD TRADING COMPANY,"£45,941"
July Tranparency 482,13/07/2021,DIG BASELINE RUN - HEALTH AND DISABILITY DEL P,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,MONGODB LIMITED,"£45,470"
July Tranparency 483,14/07/2021,OPS CFC DISCRETE BUDGET CONTROL,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,CAPITA BUSINESS SERVICES LTD TA KNOWLEDGEPOOL,"£44,919"
July Tranparency 484,13/07/2021,WWEG WP FG CEP ESF1420 OW LONDON WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,REED IN PARTNERSHIP LTD,"£44,813"
July Tranparency 485,26/07/2021,DWP CHG DWP RE-IMAGINE WPM,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IBM,"£44,496"
July Tranparency 486,29/07/2021,DIG INTEGRATION - STRATEGIC ARA DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IBM UK LTD,"£44,382"
July Tranparency 487,12/07/2021,FG ESRM ENTERPRISE SECURITY AND RISK MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,AMETHYST RISK MANAGEMENT LTD,"£44,358"
July Tranparency 488,14/07/2021,"DIG ENGAGEMENT, ADOPTION & RELEASE SERVICE",EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£44,149"
July Tranparency 489,13/07/2021,SE SPD PRINT,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - PRINTING,ALLIED PUBLICITY SERVICES MANCHESTER LTD,"£43,945"
July Tranparency 490,21/07/2021,CMG OPS EXTERNAL CONTRACTS/SLAS HARPER MACLEOD,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,HARPER MACLEOD LLP,"£43,824"
July Tranparency 491,29/07/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,MANNING GOTTLIEB OMD,"£43,751"
July Tranparency 492,20/07/2021,DIG MOBILITY SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,XMA LTD,"£43,650"
July Tranparency 493,29/07/2021,EP CEP WHP JETS SCOTLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,CAPITA BUSINESS SERVICES LTD,"£43,646"
July Tranparency 494,21/07/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,SODEXO LTD,"£43,548"
July Tranparency 495,07/07/2021,DIG - NETWORK TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,UBDS IT CONSULTING LTD,"£43,446"
July Tranparency 496,07/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,THE BIG LOTTERY FUND,"£43,375"
July Tranparency 497,20/07/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - WATER,SCOTTISH WATER BUSINESS STREAM LTD,"£43,254"
July Tranparency 498,29/07/2021,DIG TECH SERVICES SERVICES IN LIEU,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£42,974"
July Tranparency 499,06/07/2021,EP CEP WHP JETS SCOTLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,CAPITA BUSINESS SERVICES LTD,"£42,906"
July Tranparency 500,21/07/2021,OPS WDC WSD NW GM EMPLOYERS & PARTNERSHIPS TEAM,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,STANDGUIDE LTD#ZANZIBAR,"£42,658"
July Tranparency 501,30/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,GRESHAM OFFICE FURNITURE LTD,"£42,654"
July Tranparency 502,14/07/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,BT GLOBAL SERVICES,"£42,493"
July Tranparency 503,27/07/2021,DIG TBPS PROJECT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£42,432"
July Tranparency 504,05/07/2021,CMG OPS NSP 2012 SCHEME APM,EXP - WRITE OFF - BAD DEBTS (NON-RINGFENCED) - CLIENT FUND,CM 2012 CLIENT FUNDS,"£42,347"
July Tranparency 505,22/07/2021,DIG - SDX DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,COMPUTACENTER UK LTD,"£42,334"
July Tranparency 506,30/07/2021,DIG BULK PRINT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,WILLIAMS LEA CCM LTD,"£42,121"
July Tranparency 507,01/07/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,MANNING GOTTLIEB OMD,"£42,038"
July Tranparency 508,27/07/2021,DIG ITLR - OTHER NETWORK CONTRACTS - DELA,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,HIGHSPEED OFFICE LTD,"£41,878"
July Tranparency 509,08/07/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,SEDDON CONSTRUCTION LTD,"£41,833"
July Tranparency 510,07/07/2021,OPS CFC DISCRETE BUDGET CONTROL,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,SONIC COMMUNICATIONS INT LTD,"£41,793"
July Tranparency 511,12/07/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,MITIE PROPERTY SERVICES UK LTD,"£41,757"
July Tranparency 512,27/07/2021,FG CD ESTATES RESIDUAL COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,SODEXO LTD,"£41,732"
July Tranparency 513,09/07/2021,CHG FES WORK MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,TATA CONSULTANCY SERVICES LTD,"£41,652"
July Tranparency 514,06/07/2021,DIG DESKTOP SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,ATOS IT SERVICES UK LTD,"£41,413"
July Tranparency 515,14/07/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,BT GLOBAL SERVICE SOLUTIONS,"£41,225"
July Tranparency 516,19/07/2021,DIG DYNAMIC TRUST HUB - CARERS PATHFINDER DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£41,156"
July Tranparency 517,20/07/2021,DIG ITLR - TELEPHONY - PSNT - DELA,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING TELEPHONY,VODAFONE LTD,"£41,062"
July Tranparency 518,07/07/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,WATES CONSTRUCTION LTD,"£40,973"
July Tranparency 519,14/07/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,BT GLOBAL SERVICES,"£40,290"
July Tranparency 520,28/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,DURHAM COUNTY COUNCIL,"£40,056"
July Tranparency 521,22/07/2021,DIG TECH PLATFORM CIS REMEDIATION,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,IBM UNITED KINGDOM LTD,"£40,033"
July Tranparency 522,20/07/2021,DIG INFRASTRUCTURE TOOLING RUN,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,COMPUTACENTER UK LTD,"£39,990"
July Tranparency 523,20/07/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,SODEXO LTD,"£39,884"
July Tranparency 524,05/07/2021,DIG DIGITAL CROSS BOUNDARY TEAM INITIATIVES DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,LAYER 7 IT SECURITY,"£39,780"
July Tranparency 525,07/07/2021,DIG APPLICATION DATA PLATFORMS EAS,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SITEKIT SYSTEMS LTD,"£39,600"
July Tranparency 526,19/07/2021,DIG APPLICATION DATA PLATFORMS EAS,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SITEKIT SYSTEMS LTD,"£39,600"
July Tranparency 527,26/07/2021,DIG APPLICATION DATA PLATFORMS EAS,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SITEKIT SYSTEMS LTD,"£39,600"
July Tranparency 528,19/07/2021,DIG CONTACT CENTRE MAINTENANCE NGCC2022 DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,PIXEL GROUP LTD,"£39,600"
July Tranparency 529,01/07/2021,FG FIN CONT REPORTING & PRODUCTION TEAM,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ACCOUNTING,SHARED SERVICES CONNECTED LTD,"£39,223"
July Tranparency 530,23/07/2021,DIG DIGITAL UC LEEDS DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,TATA CONSULTANCY SERVICES LTD,"£38,700"
July Tranparency 531,29/07/2021,WWEG WP FG CEP ESF1420 MARCHES TRANS,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,REED IN PARTNERSHIP LTD,"£38,322"
July Tranparency 532,07/07/2021,DIG BUSINESS GLOSSARY & DATA CATALOGUE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,AGILE SOLUTIONS GB LTD,"£38,225"
July Tranparency 533,23/07/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING NETWORKS,SPECIALIST COMPUTER CENTRES PLC,"£38,204"
July Tranparency 534,21/07/2021,FG CD STRATEGY AND BUSINESS MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,PIXEL GROUP LTD,"£37,440"
July Tranparency 535,09/07/2021,FG ESTATES TOM DEL A SALARY COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,MCBAINS LTD,"£37,396"
July Tranparency 536,28/07/2021,SE ST DISPUTES MODERNISATION,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IBM LTD,"£37,346"
July Tranparency 537,19/07/2021,DIG DYNAMIC TRUST HUB,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£37,103"
July Tranparency 538,13/07/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,MANNING GOTTLIEB OMD,"£37,087"
July Tranparency 539,05/07/2021,DIG ON PREMISES HOSTING REFRESH,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,COMPUTACENTER UK LTD,"£37,078"
July Tranparency 540,05/07/2021,DIG ON PREMISES HOSTING REFRESH,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,COMPUTACENTER UK LTD,"£37,078"
July Tranparency 541,08/07/2021,STR LEGAL SERVICES,Exp - Purchase Of Goods/Services - Consultancy,MILLS & REEVE SOLICITORS,"£36,932"
July Tranparency 542,29/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,WE WORK FOR EVERYONE,"£36,693"
July Tranparency 543,22/07/2021,OPS WDC WSD NE DURHAM AND TEES VALLEY DISTRICT OFFICE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,NORTH EAST AUTISM SOCIETY,"£36,628"
July Tranparency 544,23/07/2021,DIG DIGITAL UC WORKING AGE LEEDS DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,TATA CONSULTANCY SERVICES LTD,"£36,600"
July Tranparency 545,19/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,INTERNS WITH TWIN,"£36,148"
July Tranparency 546,21/07/2021,OPS WDC WSD SE DORSET WILTSHIRE HAMPSHIRE AND IOW DO,EXP - CURRENT GRANTS - NPISH - LOCAL PARTNERSHIPS,SOUTHAMPTON CITY COUNCIL,"£35,757"
July Tranparency 547,09/07/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - PRODUCTION,MANNING GOTTLIEB OMD,"£35,686"
July Tranparency 548,22/07/2021,DIG IOS ARCHITECTURE DESIGN,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£35,501"
July Tranparency 549,28/07/2021,DIG DDSP BUSINESS SERVICES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IBM UNITED KINGDOM LTD,"£35,460"
July Tranparency 550,01/07/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - PRODUCTION,MANNING GOTTLIEB OMD,"£35,368"
July Tranparency 551,08/07/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,SEDDON CONSTRUCTION LTD,"£35,111"
