Identifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Supplier Name,Transparency Invoice Amount
Transparency Aug 408,12/08/2021,FG FSC BANKING,EXP - PURCHASE OF GOODS/SERVICES - OTHER - BANK CHARGES,HM REVENUE AND CUSTOMS,"£75,000"
Transparency Aug 409,27/08/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,ZSCALER INC,"£74,907"
Transparency Aug 410,13/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,THE D2N2 ESF TECHNICAL ASSISTANCE PROGRAMME PHASE 2,"£74,664"
Transparency Aug 411,20/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ACCESS TO WORK ESF 1420,"£74,412"
Transparency Aug 412,13/08/2021,DIG INTEGRATION PLATFORMS DIGITAL GATEWAY,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,IBM UK LTD,"£74,013"
Transparency Aug 413,24/08/2021,OPS DD DIRECTOR,EXP - PURCHASE OF GOODS/SERVICES - CLINICAL & MEDICAL,ADVANCED PERSONNEL MANAGEMENT GROUP UK LTD,"£73,321"
Transparency Aug 414,20/08/2021,FG CS HS HDAS NON CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,ATOS ORIGIN IT SERVICES UK LTD,"£73,000"
Transparency Aug 415,27/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,PROGRESS2WORK,"£72,924"
Transparency Aug 416,04/08/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,PCI PAL,"£72,857"
Transparency Aug 417,12/08/2021,FG CD STRATEGY AND BUSINESS MANAGEMENT,Exp - Purchase Of Goods/Services - Consultancy,CABINET OFFICE,"£72,495"
Transparency Aug 418,10/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£71,801"
Transparency Aug 419,13/08/2021,DWP SE SPD VRS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - INTERPRETATION,THE BIG WORD,"£71,771"
Transparency Aug 420,03/08/2021,DIG RBC - COMMERCIAL COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,TATA CONSULTANCY SERVICES LTD,"£71,770"
Transparency Aug 421,31/08/2021,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,IBM UK LTD,"£71,484"
Transparency Aug 422,24/08/2021,"FG CRC KPI, BENEFITS REALISATION AND BUSINESS CHANGE",EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£71,341"
Transparency Aug 423,05/08/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,GRESHAM OFFICE FURNITURE LTD,"£71,190"
Transparency Aug 424,26/08/2021,DIG COO UNITY,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,PIXEL GROUP LTD,"£70,708"
Transparency Aug 425,26/08/2021,DIG COO UNITY,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,PIXEL GROUP LTD,"£70,446"
Transparency Aug 426,23/08/2021,DIG NOTIFICATION SERVICE PROJECT DELP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£69,763"
Transparency Aug 427,03/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£69,532"
Transparency Aug 428,04/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£69,289"
Transparency Aug 429,20/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,CHESHIRE & WARRINGTON PLEDGE,"£69,211"
Transparency Aug 430,18/08/2021,EP CEP PHASE 2 NEA NB CPA06 LONDON & HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,IXION HOLDINGS CONTRACTS LTD,"£69,012"
Transparency Aug 431,17/08/2021,DIG DEBT MGT - MAINTENANCE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,ARUM SYSTEMS LTD,"£68,468"
Transparency Aug 432,17/08/2021,DIG DEBT MGT - MAINTENANCE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,ARUM SYSTEMS LTD,"£68,468"
Transparency Aug 433,31/08/2021,DIG ITLR SOFTWARE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,MICRO FOCUS LTD,"£68,400"
Transparency Aug 434,31/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,DEPARTMENT FOR WORK & PENSIONS,"£68,313"
Transparency Aug 435,12/08/2021,DIG ITLR SOFTWARE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,COMPUTACENTER UK LTD,"£68,304"
Transparency Aug 436,04/08/2021,EP CEP WHP JETS SCOTLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,CAPITA BUSINESS SERVICES LTD,"£68,058"
Transparency Aug 437,04/08/2021,FG SPC FG SECURITY  POLICY & COMPLIANCE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£67,990"
Transparency Aug 438,25/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,DIGITAL FUTURE FIRST,"£67,926"
Transparency Aug 439,12/08/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,WATES CONSTRUCTION LTD,"£67,757"
Transparency Aug 440,04/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,LISKEARD TOGETHER,"£67,135"
Transparency Aug 441,19/08/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£66,157"
Transparency Aug 442,18/08/2021,EP CEP PHASE 2 NEA NB CPA14 WALES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,BUSINESS SENSE ASSOCIATES LTD,"£66,098"
Transparency Aug 443,05/08/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,MITIE PROPERTY SERVICES UK LTD,"£65,662"
Transparency Aug 444,25/08/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,WATES CONSTRUCTION LTD,"£65,586"
Transparency Aug 445,27/08/2021,FG CS HS HDAS PASSTHROUGH,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - FIXED COSTS,CENTRE FOR HEALTH & DISABILITY ASSESSMENTS LTD,"£65,535"
Transparency Aug 446,19/08/2021,HR EAP,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED,PAM GROUP,"£65,250"
Transparency Aug 447,05/08/2021,CHG HTP SRO PO & COMMS TEAM,EXP - PURCHASE OF GOODS/SERVICES - AUDIT SERVICES,OXFORD GLOBAL PROJECTS LTD,"£65,000"
Transparency Aug 448,04/08/2021,STR ESA DIRECTORATE HCPS,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,ROYAL MAIL GROUP PLC,"£64,798"
Transparency Aug 449,06/08/2021,DIG WA SOFTWARE & SERVICES DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CYBER SECURITY SPECIALISTS,"£64,500"
Transparency Aug 450,16/08/2021,DIG WA SOFTWARE & SERVICES DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CYBER SECURITY SPECIALISTS,"£64,500"
Transparency Aug 451,17/08/2021,DIG - SDX DEL P,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,COMPUTACENTER UK LTD,"£64,318"
Transparency Aug 452,25/08/2021,DIG BULK PRINT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,WILLIAMS LEA CCM LTD,"£61,935"
Transparency Aug 453,17/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,LISKEARD TOGETHER,"£61,826"
Transparency Aug 454,10/08/2021,DIG ITLR SOFTWARE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,MICRO FOCUS SOFTWARE UK LTD,"£61,603"
Transparency Aug 455,19/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,TRAIN TO GAIN,"£61,345"
Transparency Aug 456,19/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,EMPLOYMENT PLUS,"£61,326"
Transparency Aug 457,13/08/2021,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IBM UK LTD,"£61,112"
Transparency Aug 458,12/08/2021,HR OVERHEADS,CA - DEPOSITS AND ADVANCES - CYCLE TO WORK SCHEME,EDENRED UK GROUP LTD,"£59,816"
Transparency Aug 459,31/08/2021,CASD ANALYTICAL COMMUNITY,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ORIGINAL RESEARCH,IPSOS MORI,"£59,730"
Transparency Aug 460,23/08/2021,DIG SDX REFRESH,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,COMPUTACENTER UK LTD,"£59,667"
Transparency Aug 461,13/08/2021,DIG LIFE TEAM - CARERS PATHFINDER DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,DELOITTE LLP,"£59,206"
Transparency Aug 462,03/08/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,SPECIALIST COMPUTER CENTRES PLC,"£59,136"
Transparency Aug 463,12/08/2021,DIG FED CFCD IT SPEND,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£58,960"
Transparency Aug 464,09/08/2021,DIG EDW REMEDIATION,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,COMPUTACENTER UK LTD,"£58,861"
Transparency Aug 465,17/08/2021,EP CEP PHASE 2 NEA NB CPA02 CENTRAL ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,PINNACLE PEOPLE,"£57,798"
Transparency Aug 466,13/08/2021,DIG INTEGRATION PLATFORMS DIGITAL GATEWAY,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,IBM UK LTD,"£57,789"
Transparency Aug 467,06/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£57,685"
Transparency Aug 468,20/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,LEEDS CITY REGION SKILLS FOR GROWTH ESF,"£57,085"
Transparency Aug 469,13/08/2021,CHG INTEGRATED SERVICE,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - DESKTOPS,ATOS IT SERVICES UK LTD,"£56,487"
Transparency Aug 470,26/08/2021,CHG CONTRACTED EMPLOYMENT PROVISION,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,IBM UNITED KINGDOM LTD,"£56,438"
Transparency Aug 471,19/08/2021,OPS CFC DISCRETE BUDGET CONTROL,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING NETWORKS,AIRWAVE SOLUTIONS LTD,"£56,318"
Transparency Aug 472,20/08/2021,DIG TECH SERVICES SERVICES IN LIEU,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£56,311"
Transparency Aug 473,04/08/2021,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SCOTT LOGIC LTD,"£55,890"
Transparency Aug 474,12/08/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,BT GLOBAL SERVICE SOLUTIONS,"£55,647"
Transparency Aug 475,20/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,DURHAM COUNTY COUNCIL,"£55,475"
Transparency Aug 476,12/08/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,WATES CONSTRUCTION LTD,"£55,360"
Transparency Aug 477,17/08/2021,DIG DDSP BUSINESS SERVICES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£55,257"
Transparency Aug 478,23/08/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - PRODUCTION,MANNING GOTTLIEB OMD,"£54,867"
Transparency Aug 479,24/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,COACHING FOR POTENTIAL,"£54,541"
Transparency Aug 480,23/08/2021,DIG INTEGRATION TRANSFORMATION - EVENT PLATFORM,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,ZALAM LTD,"£54,200"
Transparency Aug 481,20/08/2021,CHG UC PROGRAMME NON-STRAND,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ORIGINAL RESEARCH,IPSOS MORI,"£53,905"
Transparency Aug 482,10/08/2021,CHG REDUCING PARENTAL CONFLICT - CHES CPA3,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,TAVISTOCK RELATIONSHIPS,"£53,310"
Transparency Aug 483,13/08/2021,OPS DS ATW DISC EP NATIONAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£53,150"
Transparency Aug 484,19/08/2021,CMG OPS EXTERNAL CONTRACTS/SLAS HARPER MACLEOD,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,HARPER MACLEOD LLP,"£52,684"
Transparency Aug 485,13/08/2021,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SCOTT LOGIC LTD,"£52,520"
Transparency Aug 486,11/08/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,BT GLOBAL SERVICES,"£52,494"
Transparency Aug 487,05/08/2021,SE SPD PRINT,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - PRINTING,ALLIED PUBLICITY SERVICES MANCHESTER LTD,"£52,478"
Transparency Aug 488,04/08/2021,"DIG ENGAGEMENT, ADOPTION & RELEASE SERVICE",EXP - PURCHASE OF GOODS/SERVICES - HOSTING,MODIS INTERNATIONAL LTD,"£51,935"
Transparency Aug 489,12/08/2021,DIG TECH PLATFORM CIS SEF,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,OPENCAST,"£51,909"
Transparency Aug 490,10/08/2021,CHG DIGITAL DEBT MANAGEMENT SERVICE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£51,816"
Transparency Aug 491,23/08/2021,CMG OPS EXTERNAL CONTRACTS/SLAS INDESSER,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - DEBT COLLECTION,INDESSER,"£51,624"
Transparency Aug 492,10/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,DEPARTMENT FOR WORK & PENSIONS,"£51,325"
Transparency Aug 493,12/08/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,SODEXO LTD,"£50,894"
Transparency Aug 494,17/08/2021,EP CEP PHASE 2 NEA NB CPA03 CENTRAL ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,STANDGUIDE LTD,"£50,893"
Transparency Aug 495,05/08/2021,DIG LOCAL PRINT SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,XEROX UK LTD,"£50,701"
Transparency Aug 496,04/08/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,PCI PAL,"£50,541"
Transparency Aug 497,23/08/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,BT GLOBAL SERVICE SOLUTIONS,"£50,112"
Transparency Aug 498,26/08/2021,DIG RBC - COMMERCIAL COSTS,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£49,919"
Transparency Aug 499,17/08/2021,DIG - SDX DEL P,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,COMPUTACENTER UK LTD,"£49,788"
Transparency Aug 500,25/08/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,GRESHAM OFFICE FURNITURE LTD,"£49,782"
Transparency Aug 501,16/08/2021,CHG INTEGRATED SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,DIFRENT LTD,"£49,740"
Transparency Aug 502,04/08/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,AHR ARCHITECTS LTD,"£49,634"
Transparency Aug 503,04/08/2021,EP CEP WHP JETS SCOTLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,CAPITA BUSINESS SERVICES LTD,"£49,564"
Transparency Aug 504,03/08/2021,DIG TECH PLATFORM CIS SEF,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,OPENCAST,"£49,407"
Transparency Aug 505,24/08/2021,DIG TECH PLATFORM CIS REMEDIATION,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IBM UNITED KINGDOM LTD,"£49,332"
Transparency Aug 506,25/08/2021,CHG FES WORK MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,TATA CONSULTANCY SERVICES LTD,"£48,672"
Transparency Aug 507,23/08/2021,WWEG WP FG CEP ESF1420 HERTFORDSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£48,585"
Transparency Aug 508,13/08/2021,FG CS HS HDAS NON CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,ATOS ORIGIN IT SERVICES UK LTD,"£48,284"
Transparency Aug 509,20/08/2021,DIG TECH SERVICES SERVICES IN LIEU,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£47,998"
Transparency Aug 510,03/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESF INCLUSION & PROGRESSION,"£47,979"
Transparency Aug 511,17/08/2021,DIG TRANSFORMATION ECSS CP AND IDV - DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£47,901"
Transparency Aug 512,10/08/2021,DIG - TOOLING MAINTENANCE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,FUSION BUSINESS SOLUTIONS (UK) LTD,"£47,880"
Transparency Aug 513,27/08/2021,OPS WDC WSD LN EAST LONDON DISTRICT OFFICE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,BARKING & DAGENHAM COLLEGE#ZANZIBAR,"£47,850"
Transparency Aug 514,20/08/2021,DIG DYNAMIC TRUST HUB,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£47,544"
Transparency Aug 515,12/08/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,BT GLOBAL SERVICE SOLUTIONS,"£47,452"
Transparency Aug 516,05/08/2021,EP CEP PHASE 2 NEA NB CPA11 SCOTLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,PEOPLEPLUS GROUP LTD,"£47,255"
Transparency Aug 517,31/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,PROGRESSING BUSINESSES THROUGH DIGITAL SKILLS,"£47,242"
Transparency Aug 518,12/08/2021,FG FSC BANKING,EXP - PURCHASE OF GOODS/SERVICES - OTHER - BANK CHARGES,WORLDPAY,"£47,210"
Transparency Aug 519,12/08/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,BT GLOBAL SERVICE SOLUTIONS,"£46,769"
Transparency Aug 520,10/08/2021,CHG REDUCING PARENTAL CONFLICT - CHES CPA4,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,TAVISTOCK RELATIONSHIPS,"£46,659"
Transparency Aug 521,12/08/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,BT GLOBAL SERVICE SOLUTIONS,"£46,368"
Transparency Aug 522,16/08/2021,DIG DG COO PEOPLE SERVICES CONTRACTS,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SYMITY LTD,"£46,350"
Transparency Aug 523,13/08/2021,FG CD ESTATES OTHER COSTS DEL P,EXP - SERVICE ELEMENT OF NON - PFI FIN LEASES - NON PRIME,INSTANT MANAGED OFFICES,"£46,218"
Transparency Aug 524,17/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£45,703"
Transparency Aug 525,23/08/2021,CHG DWP RE-IMAGINE CLUSTER,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£45,481"
Transparency Aug 526,27/08/2021,OPS WDC WSD LN EAST LONDON DISTRICT OFFICE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,BARKING & DAGENHAM COLLEGE,"£45,375"
Transparency Aug 527,24/08/2021,DIG TBPS PROJECT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£45,240"
Transparency Aug 528,18/08/2021,EP CEP PHASE 2 NEA NB CPA07 NORTH EAST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,GATESHEAD TRADING COMPANY,"£45,187"
Transparency Aug 529,11/08/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,BT GLOBAL SERVICES,"£44,881"
Transparency Aug 530,16/08/2021,OPS WDC WSD NW CHESHIRE EXTERNAL RELATIONS TEAM,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,PATHWAYS TO WORK LTD,"£44,520"
Transparency Aug 531,02/08/2021,CHG REDUCING PARENTAL CONFLICT - CHES CPA3,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,TAVISTOCK RELATIONSHIPS,"£44,178"
Transparency Aug 532,16/08/2021,CHG INTEGRATED SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,DIFRENT LTD,"£44,040"
Transparency Aug 533,03/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,WEST CORNWALL CLLD,"£43,982"
Transparency Aug 534,02/08/2021,FG FIN CONT SHARED SERVICES CHANGE REQUESTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ACCOUNTING,SHARED SERVICES CONNECTED LTD,"£43,895"
Transparency Aug 535,27/08/2021,CASD ANALYTICAL COMMUNITY,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ORIGINAL RESEARCH,NATIONAL CENTRE FOR SOCIAL RESEARCH,"£43,879"
Transparency Aug 536,12/08/2021,WWEG WP FG CEP ESF1420 MARCHES MD,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£43,662"
Transparency Aug 537,20/08/2021,DIG - NETWORK TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,UBDS IT CONSULTING LTD,"£43,446"
Transparency Aug 538,31/08/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,GRESHAM OFFICE FURNITURE LTD,"£43,390"
Transparency Aug 539,10/08/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - WATER,SCOTTISH WATER BUSINESS STREAM LTD,"£43,371"
Transparency Aug 540,16/08/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,RESOLUTION INTERIORS LTD,"£43,350"
Transparency Aug 541,23/08/2021,DIG DATA ASSET MANAGEMENT,Exp - Purchase Of Goods/Services - Contractors,CAPGEMINI UK PLC,"£43,205"
Transparency Aug 542,24/08/2021,DIG TECH PLATFORM CIS REMEDIATION,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,IBM UNITED KINGDOM LTD,"£42,140"
Transparency Aug 543,16/08/2021,DIG NOTIFICATION SERVICE PROJECT DELP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,OPEN TEXT UK LTD,"£41,952"
Transparency Aug 544,25/08/2021,DIG DATA ASSET MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,AGILE SOLUTIONS GB LTD,"£41,755"
