Unique identifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Invoice Number,Supplier Name,Transparency Invoice Amount
Jun. Transparency 372,16/06/2021,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ERS-390900148513-273273,CAPGEMINI UK PLC,"£80,001"
Jun. Transparency 373,24/06/2021,DIG CITIZEN INFORMATION - STRATEGIC ARA DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,2600110280741,CAPGEMINI UK PLC,"£79,908"
Jun. Transparency 374,25/06/2021,WWEG WP FG CEP ESF1420 GLOUCESTER,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,140184,LEARNDIRECT LTD,"£79,282"
Jun. Transparency 375,16/06/2021,EP CEP PHASE 2 NEA NB CPA09 NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139804,CUMBRIA CHAMBER OF COMMERCE,"£79,131"
Jun. Transparency 376,28/06/2021,DIG SPECIALIST & ENGINEERING DEVICE SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,INV02964500,SOFTCAT PLC,"£79,128"
Jun. Transparency 377,11/06/2021,WWEG WP FG CEP ESF1420 HERTFORDSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139681,REED IN PARTNERSHIP LTD,"£78,906"
Jun. Transparency 378,16/06/2021,CHG DIGITAL DEBT MANAGEMENT SERVICE,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,INV-1302,SCRUMCONNECT LTD,"£78,660"
Jun. Transparency 379,03/06/2021,EP CEP PHASE 2 NEA NB CPA10 NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139318,PEOPLEPLUS GROUP LTD,"£78,434"
Jun. Transparency 380,24/06/2021,CHG UKSPF,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110280747,CAPGEMINI UK PLC,"£78,336"
Jun. Transparency 381,30/06/2021,WWEG CEP IPES CPA 6 WALES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,140304,REMPLOY LTD,"£77,987"
Jun. Transparency 382,30/06/2021,WWEG CEP IPES CPA 1 CENTRAL ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,140336,SHAW TRUST,"£77,488"
Jun. Transparency 383,15/06/2021,FG ESRM ENTERPRISE SECURITY AND RISK MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,00028926,NCC GROUP SECURITY SERVICES LTD,"£77,139"
Jun. Transparency 384,11/06/2021,DWP CHG DWP RE-IMAGINE WPM,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110277258,CAPGEMINI UK PLC,"£77,004"
Jun. Transparency 385,09/06/2021,SE SPD PRINT,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - PRINTING,C52743,ALLIED PUBLICITY SERVICES MANCHESTER LTD,"£76,900"
Jun. Transparency 386,11/06/2021,DIG MAINTENANCE - HEALTH DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,2021/06B,SQC TECHNOLOGY LTD,"£76,860"
Jun. Transparency 387,17/06/2021,DIG TBPS PROJECT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,9002550456,OPEN TEXT UK LTD,"£76,592"
Jun. Transparency 388,07/06/2021,WWEG WP FG CEP ESF1420 MARCHES TRANS,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139457,REED IN PARTNERSHIP LTD,"£76,521"
Jun. Transparency 389,29/06/2021,FG CRC CYBER RESILIENCE CENTRE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,0000000452,2T SECURITY LTD,"£76,260"
Jun. Transparency 390,18/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,SINC0121053615,SOUTHERNS BROADSTOCK LTD,"£76,157"
Jun. Transparency 391,25/06/2021,FG CS HS HDAS NON CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,INV02954116,SOFTCAT PLC,"£75,983"
Jun. Transparency 392,21/06/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,ILCS0948-1,ISG FIT OUT LTD,"£75,786"
Jun. Transparency 393,07/06/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,9900599334,SODEXO LTD,"£74,072"
Jun. Transparency 394,10/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,510171,GRESHAM OFFICE FURNITURE LTD,"£74,033"
Jun. Transparency 395,14/06/2021,OPS CFC DEBT INVESTMENT,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - DEBT COLLECTION,30009863,INDESSER,"£73,786"
Jun. Transparency 396,02/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,08S19P03729/CL/21Q01/07,UNLOCKING POTENTIAL,"£73,523"
Jun. Transparency 397,23/06/2021,"FG CRC KPI, BENEFITS REALISATION AND BUSINESS CHANGE",EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110280620,CAPGEMINI UK PLC,"£73,359"
Jun. Transparency 398,09/06/2021,CHG UC DIGITAL SERVICES-RECURRENT,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,HEX38000720431,EXPERIAN LTD,"£72,499"
Jun. Transparency 399,09/06/2021,CHG UC DIGITAL SERVICES-RECURRENT,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,HEX38000720436,EXPERIAN LTD,"£72,499"
Jun. Transparency 400,03/06/2021,FG CD REPROGRAPHICS,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,7344445,UK MAIL,"£72,433"
Jun. Transparency 401,30/06/2021,DIG LM CASELOAD MANAGEMENT ACCELERATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,8001897286,DELOITTE LLP,"£72,105"
Jun. Transparency 402,09/06/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - WATER,2021-06,SCOTTISH WATER BUSINESS STREAM LTD,"£71,993"
Jun. Transparency 403,16/06/2021,EP CEP PHASE 2 NEA NB CPA06 LONDON & HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139803,IXION HOLDINGS CONTRACTS LTD,"£71,934"
Jun. Transparency 404,29/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,23S20P04197/CL/20Q04/05,ACCELERATING GROWTH OF THE DIGITAL AND CREATIVE ECONOMY,"£71,924"
Jun. Transparency 405,02/06/2021,DIG CORPORATE SERVICES (IT),EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP-G11-HRT-10,PIXEL GROUP LTD,"£71,800"
Jun. Transparency 406,17/06/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,i200073,WAGSTAFF BROS LTD T/A WAGSTAFF INTERIORS GROUP,"£71,795"
Jun. Transparency 407,02/06/2021,DIG INTEGRATION TRANSFORMATION - EVENT PLATFORM,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,0000000161,ZALAM LTD,"£70,000"
Jun. Transparency 408,08/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,24S20P04193/CL/21Q01/05,RYPE  RURAL YOUTH PLEDGE FOR EMPLOYMENT,"£69,671"
Jun. Transparency 409,08/06/2021,FG CS HS HDAS NON CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5584363994,ATOS ORIGIN IT SERVICES UK LTD,"£69,000"
Jun. Transparency 410,04/06/2021,WWEG CEP IPES CPA 6 WALES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139348,REMPLOY LTD,"£68,642"
Jun. Transparency 411,18/06/2021,DIG RBC - GET YOUR SEASONAL PAYMENT - ST COSTS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV-0544,ARUM SYSTEMS LTD,"£68,468"
Jun. Transparency 412,14/06/2021,DIG NIST ADAPTIVE SECURITY DELIVERY LEADERSHIP DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,1027,REPHLEX NETWORKS LTD,"£68,422"
Jun. Transparency 413,09/06/2021,DIG CORPORATE SERVICES (IT),EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP-G11-HRT-11,PIXEL GROUP LTD,"£68,210"
Jun. Transparency 414,28/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,SINC0121042828,SOUTHERNS BROADSTOCK LTD,"£67,667"
Jun. Transparency 415,07/06/2021,CORP ADJUSTMENTS DEL P,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,DRMMay21a,ROYAL MAIL GROUP PLC,"£67,255"
Jun. Transparency 416,10/06/2021,DIG SDX REFRESH,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,148220006807,EQUINIX UK LTD,"£67,092"
Jun. Transparency 417,16/06/2021,EP CEP PHASE 2 NEA NB CPA14 WALES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139809,BUSINESS SENSE ASSOCIATES LTD,"£66,845"
Jun. Transparency 418,07/06/2021,FG CS HS HDAS NON CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5584360268,ATOS ORIGIN IT SERVICES UK LTD,"£66,508"
Jun. Transparency 419,24/06/2021,DIG TACTICAL TRANSFORMATION -  HWA DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,2600110280765,CAPGEMINI UK PLC,"£66,286"
Jun. Transparency 420,18/06/2021,DIG CHILDREN STRATEGIC MATERNITY ALLOWANCE DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003509751,ACCENTURE UK LTD,"£66,088"
Jun. Transparency 421,11/06/2021,FG FSC BANKING,EXP - PURCHASE OF GOODS/SERVICES - OTHER - BANK CHARGES,219990000078618,VOCALINK,"£66,000"
Jun. Transparency 422,17/06/2021,FG ESTATES TOM DEL A SALARY COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,TCM6933,MCBAINS LTD,"£65,920"
Jun. Transparency 423,22/06/2021,FG SPC FG SECURITY  POLICY & COMPLIANCE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110280186,CAPGEMINI UK PLC,"£65,599"
Jun. Transparency 424,11/06/2021,HR EAP,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED,101605,PAM GROUP,"£65,250"
Jun. Transparency 425,30/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,13S18P02546/CL/21Q01/17,WISBECH CLLD ESF,"£65,238"
Jun. Transparency 426,11/06/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3780122321,COMPUTACENTER UK LTD,"£65,177"
Jun. Transparency 427,09/06/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,SINC02DWP08,SOUTHERNS BROADSTOCK LTD,"£64,024"
Jun. Transparency 428,15/06/2021,HR OVERHEADS,CA - DEPOSITS AND ADVANCES - CYCLE TO WORK SCHEME,13298,EDENRED UK GROUP LTD,"£63,825"
Jun. Transparency 429,17/06/2021,DIG INTELLIGENT AUTOMATION GARAGE MAINTENANCE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003509512,ACCENTURE UK LTD,"£63,305"
Jun. Transparency 430,04/06/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,5315444,INSIGHT DIRECT UK LTD,"£62,996"
Jun. Transparency 431,17/06/2021,DIG MODERNISING DISSATISFACTION - ACCELERATION DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5805210595,IBM LTD,"£62,449"
Jun. Transparency 432,08/06/2021,FG SPC FG SECURITY  POLICY & COMPLIANCE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110277252,CAPGEMINI UK PLC,"£62,186"
Jun. Transparency 433,01/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,24S20P04193/CL/20Q04/04,RYPE  RURAL YOUTH PLEDGE FOR EMPLOYMENT,"£62,054"
Jun. Transparency 434,08/06/2021,FG CS HS HDAS NON CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5584363732,ATOS ORIGIN IT SERVICES UK LTD,"£62,000"
Jun. Transparency 435,03/06/2021,EP CEP PHASE 2 NEA NB CPA01 CENTRAL ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139316,PEOPLEPLUS GROUP LTD,"£61,576"
Jun. Transparency 436,15/06/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING TELEPHONY,97923963,VODAFONE LTD,"£61,543"
Jun. Transparency 437,08/06/2021,HR GRS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - RECRUITMENT,3806959,CABINET OFFICE,"£61,464"
Jun. Transparency 438,24/06/2021,DWP UCO DIRECTOR OUTSOURCING,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,6119000491,CAPITA BUSINESS SERVICES LTD,"£61,287"
Jun. Transparency 439,21/06/2021,CASD ANALYTICAL COMMUNITY,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ORIGINAL RESEARCH,21001297,IPSOS MORI,"£61,138"
Jun. Transparency 440,07/06/2021,DIG TECHNOLOGY COO CAPABILITY,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110273912,CAPGEMINI UK PLC,"£61,104"
Jun. Transparency 441,17/06/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,566581,BT GLOBAL SERVICE SOLUTIONS,"£60,372"
Jun. Transparency 442,11/06/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3780121281,COMPUTACENTER UK LTD,"£60,338"
Jun. Transparency 443,23/06/2021,FG CS HS PIP LOT 1,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP F2F ASSESSMENTS,5584365361,ATOS IT SERVICES UK LTD TRADING AS INDEPENDENT ASSESSMENT SERVICES,"£60,300"
Jun. Transparency 444,07/06/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - OFFICE CLEANING,FACMI053048,MITIE FM LTD,"£59,620"
Jun. Transparency 445,30/06/2021,FG CS HS HDAS PASSTHROUGH,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - FIXED COSTS,00369,CENTRE FOR HEALTH & DISABILITY ASSESSMENTS LTD,"£59,572"
Jun. Transparency 446,14/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,05S20P04201/CL/20Q04/03,FLOURISH - ESF,"£59,236"
Jun. Transparency 447,23/06/2021,FG CS HS PIP LOT 1,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP F2F ASSESSMENTS,5584365360,ATOS IT SERVICES UK LTD TRADING AS INDEPENDENT ASSESSMENT SERVICES,"£58,994"
Jun. Transparency 448,07/06/2021,DIG WA SOFTWARE & SERVICES DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SI-424,CYBER SECURITY SPECIALISTS,"£58,500"
Jun. Transparency 449,09/06/2021,SE SPD PRINT,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - PRINTING,C52744,ALLIED PUBLICITY SERVICES MANCHESTER LTD,"£58,145"
Jun. Transparency 450,22/06/2021,FG CS HS PIP LOT 2,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP GP FACTUAL,700131052021,CAPITA BUSINESS SERVICES LTD,"£57,788"
Jun. Transparency 451,22/06/2021,DIG CIS STAFFING,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5806210706,IBM UNITED KINGDOM LTD,"£57,654"
Jun. Transparency 452,03/06/2021,EP CEP PHASE 2 NEA NB CPA14 WALES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139341,BUSINESS SENSE ASSOCIATES LTD,"£57,492"
Jun. Transparency 453,11/06/2021,DIG EUCS-06 DASHBOARD,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,0000001324,REDESMERE LTD,"£57,456"
Jun. Transparency 454,14/06/2021,CHG INTEGRATED SERVICE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,1011183026,JAMES HARVARD LTD,"£57,180"
Jun. Transparency 455,23/06/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - PRODUCTION,E06947,MANNING GOTTLIEB OMD,"£56,462"
Jun. Transparency 456,03/06/2021,EP CEP PHASE 2 NEA NB CPA03 CENTRAL ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139314,STANDGUIDE LTD,"£56,432"
Jun. Transparency 457,09/06/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,566290,BT GLOBAL SERVICES,"£55,880"
Jun. Transparency 458,10/06/2021,DIG WA SOFTWARE & SERVICES DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SI-433,CYBER SECURITY SPECIALISTS,"£55,500"
Jun. Transparency 459,01/06/2021,CHG UC DESIGN & BUILD PROGRAMME MANAGER,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,HEX67000719712,EXPERIAN LTD,"£55,200"
Jun. Transparency 460,21/06/2021,OPS WDC WSD LN WEST LONDON DISTRICT OFFICE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,0000000007,DOUBLESPRESSO LTD#ZANZIBAR,"£55,125"
Jun. Transparency 461,03/06/2021,FG CS HS HDAS PASSTHROUGH,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - FIXED COSTS,00367,CENTRE FOR HEALTH & DISABILITY ASSESSMENTS LTD,"£54,343"
Jun. Transparency 462,04/06/2021,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,QA-PRI-000000078,QA LTD,"£54,316"
Jun. Transparency 463,30/06/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3780122267,COMPUTACENTER UK LTD,"£54,300"
Jun. Transparency 464,02/06/2021,CHG FES WORK MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,UKNI222005645,TATA CONSULTANCY SERVICES LTD,"£54,288"
Jun. Transparency 465,04/06/2021,CHG DWP RE-IMAGINE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110278197,CAPGEMINI UK PLC,"£53,809"
Jun. Transparency 466,18/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,SINC0121053528,SOUTHERNS BROADSTOCK LTD,"£53,300"
Jun. Transparency 467,11/06/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3883049421,COMPUTACENTER UK LTD,"£53,244"
Jun. Transparency 468,01/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,06S20P04187/CL/21Q01/03,COVENTRY & WARWICKSHIRE SKILLS 4 GROWTH,"£53,216"
Jun. Transparency 469,02/06/2021,DIG DDSP BUSINESS SERVICES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110277833,CAPGEMINI UK PLC,"£52,927"
Jun. Transparency 470,24/06/2021,FG HDD MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - OTHER - DEPARTMENTAL SUBSCRIPTIONS,68798451,TAMESIDE MBC,"£52,800"
Jun. Transparency 471,29/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,23S19P04034/CL/21Q01/07,COACHING FOR POTENTIAL,"£52,358"
Jun. Transparency 472,11/06/2021,STR LEGAL SERVICES,Exp - Purchase Of Goods/Services - Consultancy,0110692,MILLS & REEVE SOLICITORS,"£52,357"
Jun. Transparency 473,25/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,LAR2285,MCBAINS LTD,"£52,144"
Jun. Transparency 474,14/06/2021,DIG EMAIL & OFFICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP-029-02,QBIT KLOUD LTD,"£51,788"
Jun. Transparency 475,23/06/2021,CMG OPS EXTERNAL CONTRACTS/SLAS INDESSER,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - DEBT COLLECTION,30009861,INDESSER,"£51,574"
Jun. Transparency 476,16/06/2021,FG CS HS HDAS NON CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5584363726,ATOS ORIGIN IT SERVICES UK LTD,"£51,346"
Jun. Transparency 477,03/06/2021,EP CEP PHASE 2 NEA NB CPA07 NORTH EAST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139339,GATESHEAD TRADING COMPANY,"£51,203"
Jun. Transparency 478,10/06/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,565814,BT GLOBAL SERVICE SOLUTIONS,"£50,890"
Jun. Transparency 479,25/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,LAR2242,MCBAINS LTD,"£50,828"
Jun. Transparency 480,29/06/2021,DIG INTEGRATION PLATFORMS MESSAGING NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5806211191,IBM UK LTD,"£50,637"
Jun. Transparency 481,22/06/2021,DIG TECH PLATFORM CIS REMEDIATION,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5806210700,IBM UNITED KINGDOM LTD,"£50,568"
Jun. Transparency 482,15/06/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - RECURRENT PUBLICITY,INV-MCS-00005345,M&C SAATCHI UK LTD,"£50,381"
Jun. Transparency 483,10/06/2021,DIG O365 PLATFORM SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,INV02809983,SOFTCAT PLC,"£50,094"
Jun. Transparency 484,07/06/2021,DIG TECHNOLOGY COO CAPABILITY,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110270916,CAPGEMINI UK PLC,"£50,064"
Jun. Transparency 485,17/06/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - BUILDING SERVICE CHARGES,FACMI052957,MITIE FM LTD,"£50,036"
Jun. Transparency 486,02/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,39S16C00947/CL/20Q02/26,DEPARTMENT FOR WORK & PENSIONS,"£49,999"
Jun. Transparency 487,23/06/2021,EP CEP PHASE 2 NEA NB CPA11 SCOTLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,140074,PEOPLEPLUS GROUP LTD,"£49,859"
Jun. Transparency 488,17/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,27S18P02736/CL/21Q01/10,EMPLOYMENT SUPPORT TRAINING,"£49,625"
Jun. Transparency 489,16/06/2021,EP CEP PHASE 2 NEA NB CPA07 NORTH EAST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139806,GATESHEAD TRADING COMPANY,"£49,206"
Jun. Transparency 490,23/06/2021,DIG APPLICATION DATA PLATFORMS CIS RELEASE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5806210807,IBM UNITED KINGDOM LTD,"£49,036"
Jun. Transparency 491,24/06/2021,DIG TECHNOLOGY COO CAPABILITY,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110280536,CAPGEMINI UK PLC,"£48,503"
Jun. Transparency 492,25/06/2021,OPS WDC WSD NATIONAL EMPLOYER AND PARTNERSHIP TEAM,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,5502271097,KPMG,"£48,452"
Jun. Transparency 493,17/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,05S16P01240/CL/21Q01/21,CORNWALL & ISLES OF SCILLY ESF 2014 2020,"£48,308"
Jun. Transparency 494,03/06/2021,DIG MOBILITY SERVICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,010267,JUMAR TECHNOLOGY LTD,"£48,216"
Jun. Transparency 495,22/06/2021,DIG MAINTENANCE - HEALTH DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5806210705,IBM UNITED KINGDOM LTD,"£48,194"
Jun. Transparency 496,10/06/2021,DIG - TOOLING MAINTENANCE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,0000027274,FUSION BUSINESS SOLUTIONS (UK) LTD,"£47,880"
Jun. Transparency 497,23/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,16S19P03155/CL/21Q01/04,SOMERSET NEETS PROJECT,"£47,683"
Jun. Transparency 498,28/06/2021,FG FIN CONT SHARED SERVICES CHANGE REQUESTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ACCOUNTING,100024236,SHARED SERVICES CONNECTED LTD,"£47,660"
