Identifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Invoice Number,Supplier Name,Transparency Invoice Amount
May.Tranparency 373,06/05/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3883018334,COMPUTACENTER UK LTD,"£87,908"
May.Tranparency 374,27/05/2021,DIG CITIZEN INFORMATION - STRATEGIC ARA DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5805210926,IBM UNITED KINGDOM LTD,"£87,631"
May.Tranparency 375,12/05/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CIN8711,SPELLER METCALFE MALVERN LTD,"£87,247"
May.Tranparency 376,28/05/2021,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5805210848,IBM UK LTD,"£87,088"
May.Tranparency 377,19/05/2021,DIG DESKTOP MAINTENANCE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,3883024988,COMPUTACENTER UK LTD,"£86,736"
May.Tranparency 378,27/05/2021,CHG DIGITAL DEBT MANAGEMENT SERVICE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,724605,FAIR ISAAC SERVICES LTD,"£86,112"
May.Tranparency 379,21/05/2021,DIG ECMS PROJECT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110277354,CAPGEMINI UK PLC,"£85,770"
May.Tranparency 380,17/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,16S17C01934/CL/20Q04/27,ESFA ESF PROJECTS,"£85,714"
May.Tranparency 381,14/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,17S19P03321/CL/21Q01/05,PATHWAYS TO SUCCESS,"£85,484"
May.Tranparency 382,27/05/2021,DIG CONTACT CENTRE MAINTENANCE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING - CONNECTIVITY,566798,BT GLOBAL SERVICES,"£85,345"
May.Tranparency 383,25/05/2021,DIG MAINTENANCE - HEALTH DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,2021/05F,SQC TECHNOLOGY LTD,"£84,990"
May.Tranparency 384,28/05/2021,DIG TACTICAL TRANSFORMATION -  HWA DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,2600110277472,CAPGEMINI UK PLC,"£84,019"
May.Tranparency 385,07/05/2021,DIG DATA CENTRE OPERATIONS DEL P,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,11137,CROWN HOSTING DATA CENTRES LTD,"£83,711"
May.Tranparency 386,07/05/2021,DIG DATA CENTRE OPERATIONS DEL P,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,11141,CROWN HOSTING DATA CENTRES LTD,"£83,711"
May.Tranparency 387,07/05/2021,DIG DATA CENTRE OPERATIONS DEL P,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,11142,CROWN HOSTING DATA CENTRES LTD,"£83,711"
May.Tranparency 388,07/05/2021,DIG DATA CENTRE OPERATIONS DEL P,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,11143,CROWN HOSTING DATA CENTRES LTD,"£83,711"
May.Tranparency 389,07/05/2021,DIG ON PREMISES HOSTING REFRESH,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,3883024951,COMPUTACENTER UK LTD,"£82,526"
May.Tranparency 390,17/05/2021,DIG DATA TRANSFORMATION,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,20210874,ADHUNTER LTD,"£82,400"
May.Tranparency 391,19/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,37S17C02070/CL/20Q04/27,ESFA ESF PROJECTS,"£81,678"
May.Tranparency 392,27/05/2021,DIG DDSP BUSINESS SERVICES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5805210788,IBM UK LTD,"£80,894"
May.Tranparency 393,26/05/2021,DIG WORKPLACE COMPUTING MAINTENANCE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3883039653,COMPUTACENTER UK LTD,"£80,262"
May.Tranparency 394,11/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,05S19P03163/CL/20Q03/07,LISKEARD TOGETHER,"£79,679"
May.Tranparency 395,13/05/2021,DIG NIST ADAPTIVE SECURITY DELIVERY LEADERSHIP DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,1026,REPHLEX NETWORKS LTD,"£79,632"
May.Tranparency 396,27/05/2021,"FG CRC KPI, BENEFITS REALISATION AND BUSINESS CHANGE",EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110277257,CAPGEMINI UK PLC,"£79,549"
May.Tranparency 397,12/05/2021,DIG TBPS PROJECT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,9002491567,OPEN TEXT UK LTD,"£79,315"
May.Tranparency 398,19/05/2021,"DIG ENGAGEMENT, ADOPTION & RELEASE SERVICE",EXP - PURCHASE OF GOODS/SERVICES - HOSTING,A33864,MODIS INTERNATIONAL LTD,"£79,201"
May.Tranparency 399,18/05/2021,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,EUINGB21-1337398,AMAZON WEB SERVICES EMEA SARL,"£79,016"
May.Tranparency 400,20/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,37S17C01938/CL/20Q04/27,ESFA ESF PROJECTS,"£78,485"
May.Tranparency 401,28/05/2021,FG FIN CONT SHARED SERVICES CORE COSTS,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,100023609,SHARED SERVICES CONNECTED LTD,"£78,145"
May.Tranparency 402,26/05/2021,"DIG ENGAGEMENT, ADOPTION & RELEASE SERVICE",EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003507462,ACCENTURE UK LTD,"£78,065"
May.Tranparency 403,20/05/2021,SE SPD PRINT,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - PRINTING,C51790,ALLIED PUBLICITY SERVICES MANCHESTER LTD,"£77,501"
May.Tranparency 404,25/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,9900593064,SODEXO LTD,"£77,312"
May.Tranparency 405,18/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CSI01575-1,ISG FIT OUT LTD,"£77,285"
May.Tranparency 406,13/05/2021,CHG DWP RE-IMAGINE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110273871,CAPGEMINI UK PLC,"£76,696"
May.Tranparency 407,07/05/2021,WWEG WP FG CEP ESF1420 MARCHES TRANS,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,138554,REED IN PARTNERSHIP LTD,"£76,521"
May.Tranparency 408,24/05/2021,OPS DD DIRECTOR,EXP - PURCHASE OF GOODS/SERVICES - CLINICAL & MEDICAL,AINV-100452,ADVANCED PERSONNEL MANAGEMENT GROUP UK LTD,"£76,358"
May.Tranparency 409,24/05/2021,FG CS HS PIP LOT 1,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP F2F ASSESSMENTS,5584363259,ATOS IT SERVICES UK LTD TRADING AS INDEPENDENT ASSESSMENT SERVICES,"£75,543"
May.Tranparency 410,27/05/2021,DIG DATA ASSET MANAGEMENT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110277409,CAPGEMINI UK PLC,"£75,284"
May.Tranparency 411,05/05/2021,FG CRC PROTECTIVE MONITORING INTEGRATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SI-210333,SOMERFORD ASSOCIATES LTD,"£74,968"
May.Tranparency 412,11/05/2021,DIG ON PREMISES HOSTING REFRESH,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,2600110275978,CAPGEMINI UK PLC,"£74,909"
May.Tranparency 413,17/05/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3883028986,COMPUTACENTER UK LTD,"£73,513"
May.Tranparency 414,04/05/2021,DIG AUTHENTICATE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,18000003082021,HMRC,"£73,439"
May.Tranparency 415,26/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,9900597638,SODEXO LTD,"£72,868"
May.Tranparency 416,21/05/2021,FG ESRM ENTERPRISE SECURITY AND RISK MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,00025734,NCC GROUP SECURITY SERVICES LTD,"£72,688"
May.Tranparency 417,10/05/2021,DIG CONTACT CENTRE MAINTENANCE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5804210781,IBM UK LTD,"£72,420"
May.Tranparency 418,25/05/2021,DIG CHILDREN STRATEGIC MATERNITY ALLOWANCE DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003507198A,ACCENTURE UK LTD,"£72,141"
May.Tranparency 419,25/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,39S17C02080/CL/20Q04/27,ESFA ESF PROJECTS,"£71,896"
May.Tranparency 420,25/05/2021,CHG CONTRACTED EMPLOYMENT PROVISION,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5805210594,IBM UNITED KINGDOM LTD,"£71,840"
May.Tranparency 421,26/05/2021,HR CASEWORK & MIS,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,2328453,MINISTRY OF JUSTICE,"£71,250"
May.Tranparency 422,11/05/2021,DIG HARDWARE ASSET MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,3883014424,COMPUTACENTER UK LTD,"£71,170"
May.Tranparency 423,14/05/2021,DIG PENSIONS & DISABLED SERVICE INITIATIVES,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,UKN1222003453,TATA CONSULTANCY SERVICES LTD,"£71,090"
May.Tranparency 424,25/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,9900593069,SODEXO LTD,"£71,011"
May.Tranparency 425,26/05/2021,DIG O365 PLATFORM SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,INV02809981,SOFTCAT PLC,"£70,956"
May.Tranparency 426,25/05/2021,DIG MAINTENANCE - HEALTH DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,2021/04F,SQC TECHNOLOGY LTD,"£69,180"
May.Tranparency 427,27/05/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - RECURRENT PUBLICITY,INV-MCS-00005275,M&C SAATCHI UK LTD,"£69,116"
May.Tranparency 428,25/05/2021,DIG NOTIFICATION SERVICE PROJECT DELP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003507200A,ACCENTURE UK LTD,"£68,675"
May.Tranparency 429,20/05/2021,DIG PLATFORMS DEBT MGT REFRESH SPEND,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV-0498,ARUM SYSTEMS LTD,"£68,468"
May.Tranparency 430,14/05/2021,DIG WA TACTICAL TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,UKSI12741,VALTECH LTD,"£68,340"
May.Tranparency 431,07/05/2021,OPS DD DIRECTOR,EXP - PURCHASE OF GOODS/SERVICES - CLINICAL & MEDICAL,AINV-100429,ADVANCED PERSONNEL MANAGEMENT GROUP UK LTD,"£67,921"
May.Tranparency 432,05/05/2021,DIG TEAM COLLABORATION ,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,INV-000846,INVOTRA LTD,"£67,512"
May.Tranparency 433,18/05/2021,DWP SE SPD VRS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - INTERPRETATION,20259872,THE BIG WORD,"£66,997"
May.Tranparency 434,27/05/2021,DIG DLA CHILD - ACCELERATION ACTIVITY DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,2600110277474,CAPGEMINI UK PLC,"£66,982"
May.Tranparency 435,06/05/2021,OPS PEN PS NEWCASTLE PC INTERNATIONAL GROUP,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,DRMApril21a,ROYAL MAIL GROUP PLC,"£66,928"
May.Tranparency 436,24/05/2021,FG CS HS PIP LOT 1,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP F2F ASSESSMENTS,5584363260,ATOS IT SERVICES UK LTD TRADING AS INDEPENDENT ASSESSMENT SERVICES,"£65,828"
May.Tranparency 437,18/05/2021,OPS CFC DEBT INVESTMENT,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - DEBT COLLECTION,30009412,INDESSER,"£65,767"
May.Tranparency 438,04/05/2021,STR PRIVATE PENS DIRECTOR & SUPPORT,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED,PEND6767-150421,PENDRAGON,"£65,300"
May.Tranparency 439,28/05/2021,HR EAP,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED,100643,PAM GROUP,"£65,250"
May.Tranparency 440,28/05/2021,HR EAP,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED,99521,PAM GROUP,"£65,250"
May.Tranparency 441,20/05/2021,DIG CROSS CUTTING SERVICES,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,PI00013984,SAS SOFTWARE LTD,"£65,001"
May.Tranparency 442,04/05/2021,DIG INTEGRATION PLATFORMS DIGITAL GATEWAY,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5804211087,IBM UK LTD,"£64,991"
May.Tranparency 443,06/05/2021,OPS LB CAPITA,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,91762070,SERCO LTD,"£64,694"
May.Tranparency 444,17/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,22S17C01892/CL/20Q04/27,ESFA ESF PROJECTS,"£64,617"
May.Tranparency 445,12/05/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3780120928,COMPUTACENTER UK LTD,"£63,612"
May.Tranparency 446,05/05/2021,CHG INTEGRATED SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,INV-UK015069,BJSS LTD,"£63,543"
May.Tranparency 447,27/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,35S19C03332/CL/20Q04/10,ESFA ESF PROJECTS,"£62,361"
May.Tranparency 448,26/05/2021,CHG FES WORK MANAGEMENT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5805210856,IBM,"£62,130"
May.Tranparency 449,20/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,10258032,KIER CONSTRUCTION LTD,"£62,031"
May.Tranparency 450,07/05/2021,DWP SE SPD VRS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - INTERPRETATION,20259405,THE BIG WORD,"£61,968"
May.Tranparency 451,21/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,i196402,WAGSTAFF INTERIORS GROUP STD FURNITURE,"£61,825"
May.Tranparency 452,27/05/2021,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5805210790,IBM UK LTD,"£61,484"
May.Tranparency 453,11/05/2021,CHG DIGITAL DEBT MANAGEMENT SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,INV-1257,SCRUMCONNECT LTD,"£60,720"
May.Tranparency 454,11/05/2021,DIG TECHNOLOGY ASSET MANAGEMENT PROJECTS,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP/BEDIG/2104-2,DMSG LTD,"£60,500"
May.Tranparency 455,10/05/2021,DIG EUCS-06 DASHBOARD,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,1313A,REDESMERE LTD,"£60,480"
May.Tranparency 456,27/05/2021,FG CRC END POINT PROTECTION,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3883012675,COMPUTACENTER UK LTD,"£60,229"
May.Tranparency 457,28/05/2021,DIG - SECURITY PROJECTS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,3883041718,COMPUTACENTER UK LTD,"£60,229"
May.Tranparency 458,28/05/2021,DIG PLATFORMS FRAUD & ERROR REFRESH SPEND,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,SI-1279,CYJAX LTD,"£60,060"
May.Tranparency 459,27/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,36S17C02029/CL/20Q04/27,ESFA ESF PROJECTS,"£59,874"
May.Tranparency 460,28/05/2021,DWP GENERIC LEARNING,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,6004059792,KNOWLEDGE POOL LTD,"£59,617"
May.Tranparency 461,25/05/2021,DIG NOTIFICATION SERVICE PROJECT DELP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003507212,ACCENTURE UK LTD,"£59,400"
May.Tranparency 462,17/05/2021,CHG UC DIGITAL SERVICES-RECURRENT,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,INV02890631,SOFTCAT PLC,"£59,127"
May.Tranparency 463,07/05/2021,DIG - NETWORK TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP-NCPM-1,UBDS IT CONSULTING LTD,"£59,040"
May.Tranparency 464,07/05/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3780119901,COMPUTACENTER UK LTD,"£58,619"
May.Tranparency 465,18/05/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - ELECTRICITY,21029639,WESTERN POWER DISTRIBUTION,"£57,770"
May.Tranparency 466,05/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,20S17L02221/CL/20Q04/15,INNER EAST LEEDS CLLD,"£57,231"
May.Tranparency 467,10/05/2021,FG TGS TRANSFORMING GOVERNMENT SECURITY PROGRAMME,CA - OTHER RECEIVABLES - INTER DWP DEBTOR - TO FOREIGN BANK ACCOUNTS,SANSTOPUP17306,SANS INSTITUTE,"£57,193"
May.Tranparency 468,12/05/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,563590,BT GLOBAL SERVICES,"£57,150"
May.Tranparency 469,05/05/2021,FG CRC PROTECTIVE MONITORING INTEGRATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SI-210420,SOMERFORD ASSOCIATES LTD,"£57,140"
May.Tranparency 470,25/05/2021,DIG INTELLIGENT AUTOMATION GARAGE MAINTENANCE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003507211,ACCENTURE UK LTD,"£56,664"
May.Tranparency 471,07/05/2021,DIG DATA ASSET MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SIN064800,METHODS BUSINESS AND DIGITAL TECHNOLOGY LTD,"£56,239"
May.Tranparency 472,14/05/2021,FG FSC BANKING,EXP - PURCHASE OF GOODS/SERVICES - OTHER - VOCA CHARGES,219990000060637A,VOCALINK,"£55,000"
May.Tranparency 473,24/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,32S19P03392/CL/21Q01/08,STAFFORDSHIRE SKILLS HUB,"£54,869"
May.Tranparency 474,12/05/2021,DIG TRANSITIONAL HOSTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,2600110275970,CAPGEMINI UK PLC,"£54,814"
May.Tranparency 475,27/05/2021,CHG DIGITAL DEBT MANAGEMENT SERVICE,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,INV-1284,SCRUMCONNECT LTD,"£54,600"
May.Tranparency 476,24/05/2021,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV007997,SCOTT LOGIC LTD,"£54,473"
May.Tranparency 477,20/05/2021,DIG EMAIL & OFFICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP-029-01,QBIT KLOUD LTD,"£53,940"
May.Tranparency 478,27/05/2021,DIG - NETWORK TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,OP/I895520,PHOENIX SOFTWARE LTD,"£53,472"
May.Tranparency 479,17/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,16S17C02025/CL/20Q04/27,ESFA ESF PROJECTS,"£53,241"
May.Tranparency 480,25/05/2021,DIG DDSP BUSINESS SERVICES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003507207A,ACCENTURE UK LTD,"£53,070"
May.Tranparency 481,24/05/2021,FG CS HS PIP LOT 2,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP GP FACTUAL,700130042021,CAPITA BUSINESS SERVICES LTD,"£52,964"
May.Tranparency 482,13/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,18S17L02150/CL/20Q04/16,ESF NORTH LINCOLNSHIRE CLLD,"£52,608"
May.Tranparency 483,17/05/2021,DIG TECH PLATFORM CIS SEF,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV007998,SCOTT LOGIC LTD,"£52,500"
May.Tranparency 484,26/05/2021,CHG KICK START,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,LA634253,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,"£52,213"
May.Tranparency 485,26/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,31S18P02777/CL/21Q01/05,SPECIALIST SUPPORT FOR SMES WORKING IN H&S CARE SECTOR ESF,"£52,146"
May.Tranparency 486,06/05/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3883018332,COMPUTACENTER UK LTD,"£52,083"
May.Tranparency 487,24/05/2021,CHG BTG DELIVER MOBILISE,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,301626,ILX GROUP PLC,"£52,000"
May.Tranparency 488,27/05/2021,CHG DWP RE-IMAGINE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5805210931,IBM,"£51,954"
May.Tranparency 489,07/05/2021,DIG RTG DATA PLATFORMS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,PI00014085,SAS INSTITUTE,"£51,852"
May.Tranparency 490,27/05/2021,CMG OPS EXTERNAL CONTRACTS/SLAS INDESSER,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - DEBT COLLECTION,30009402,INDESSER,"£51,603"
May.Tranparency 491,11/05/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,563367,BT GLOBAL SERVICE SOLUTIONS,"£51,255"
May.Tranparency 492,04/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,30S18L02440/CL/20Q04/17,CHART ESF 2014 2020,"£50,632"
May.Tranparency 493,04/05/2021,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5804211086,IBM UK LTD,"£50,325"
May.Tranparency 494,10/05/2021,COMMS OTHER,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - RES'H/EVAL,3806433,CABINET OFFICE,"£50,000"
May.Tranparency 495,20/05/2021,SE SPD PRINT,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - PRINTING,C51779,ALLIED PUBLICITY SERVICES MANCHESTER LTD,"£49,936"
May.Tranparency 496,24/05/2021,OPS WDC WSD SE BERKSHIRE SURREY AND SUSSEX DO,EXP - CURRENT GRANTS - NPISH - LOCAL PARTNERSHIPS,2137280,WOKING BOROUGH COUNCIL,"£49,762"
May.Tranparency 497,20/05/2021,"DIG ENGAGEMENT, ADOPTION & RELEASE SERVICE",PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,3883037466,COMPUTACENTER UK LTD,"£49,744"
May.Tranparency 498,14/05/2021,OPS WDC WSD SE BERKSHIRE SURREY AND SUSSEX DO,EXP - CURRENT GRANTS - NPISH - LOCAL PARTNERSHIPS,897499,MOLE VALLEY DISTRICT COUNCIL,"£49,620"
May.Tranparency 499,05/05/2021,WWEG WP FG CEP ESF1420 CORNWALL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,138400,REED IN PARTNERSHIP LTD,"£49,542"
May.Tranparency 500,04/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,02S16C00962/CL/20Q04/28,THE BIG LOTTERY FUND,"£49,493"
May.Tranparency 501,20/05/2021,CHG DWP RE-IMAGINE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110271081,CAPGEMINI UK PLC,"£49,068"
May.Tranparency 502,28/05/2021,DIG INTEGRATION PLATFORMS DIGITAL GATEWAY,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5805210789,IBM UK LTD,"£48,740"
