Indentifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Invoice Number,Supplier Name,Transparency Invoice Amount
Apr. Transparency 371,14/04/2021,FG FIN CONT SHARED SERVICES CORE COSTS,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,100022774,SSCL - SHARED SERVICES CONNECTED LTD,"£125,740"
Apr. Transparency 372,16/04/2021,DIG PENSIONS & DISABLED SERVICE INITIATIVES,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,INV-1242,SCRUMCONNECT LTD,"£124,980"
Apr. Transparency 373,23/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,06S18P02731/CL/20Q04/09,CENTRE FOR CULTURE & TOURISM SKILLS,"£124,917"
Apr. Transparency 374,06/04/2021,DIG - NETWORK TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP-NTFR-2H,UBDS IT CONSULTING LTD,"£124,883"
Apr. Transparency 375,01/04/2021,DIG INTELLIGENT AUTOMATION GARAGE SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,GB-PSI-262202,SOFTWAREONE UK LTD,"£124,324"
Apr. Transparency 376,26/04/2021,DIG INDUST INJ DISABLEMENT BENEFIT - ACCELERATION DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110273869,CAPGEMINI UK PLC,"£123,499"
Apr. Transparency 377,30/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,08S16C00937/CL/20Q03/27,DEPARTMENT FOR WORK & PENSIONS,"£122,868"
Apr. Transparency 378,14/04/2021,DIG WORKPLACE COMPUTING SERVICE,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,3882986566,COMPUTACENTER UK LTD,"£122,218"
Apr. Transparency 379,07/04/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,UKINV035105,G4S SECURE SOLUTIONS UK LTD,"£122,143"
Apr. Transparency 380,21/04/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,UKINV035436,G4S SECURE SOLUTIONS UK LTD,"£122,143"
Apr. Transparency 381,26/04/2021,DIG CHILDREN STRATEGIC MATERNITY ALLOWANCE DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003504242,ACCENTURE UK LTD,"£122,084"
Apr. Transparency 382,14/04/2021,DIG ITLR - OTHER NETWORK CONTRACTS - DELA,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING TELEPHONY,97243527,VODAFONE LTD,"£122,043"
Apr. Transparency 383,16/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - WATER,2021-04,SCOTTISH WATER BUSINESS STREAM LTD,"£121,639"
Apr. Transparency 384,14/04/2021,DIG ITLR - OTHER NETWORK CONTRACTS - DELA,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING TELEPHONY,96953642,VODAFONE LTD,"£121,235"
Apr. Transparency 385,14/04/2021,DIG SURVEYS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ORIGINAL RESEARCH,2729062,OFFICE FOR NATIONAL STATISTICS,"£120,675"
Apr. Transparency 386,23/04/2021,CHG UC DESIGN & BUILD PROGRAMME MANAGER,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,IN182609,THOUGHTWORKS LTD,"£120,600"
Apr. Transparency 387,21/04/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3882992323,COMPUTACENTER UK LTD,"£120,584"
Apr. Transparency 388,08/04/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,3780119500,COMPUTACENTER UK LTD,"£120,460"
Apr. Transparency 389,21/04/2021,CHG KICK START,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5803211174,IBM UNITED KINGDOM LTD,"£118,970"
Apr. Transparency 390,23/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,10255878,KIER CONSTRUCTION LTD,"£118,859"
Apr. Transparency 391,08/04/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,i196564,WAGSTAFF BROS LTD T/A WAGSTAFF INTERIORS GROUP,"£118,415"
Apr. Transparency 392,29/04/2021,CMG OPS EXTERNAL CONTRACTS/SLAS INDESSER,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - DEBT COLLECTION,30009239,INDESSER,"£117,613"
Apr. Transparency 393,27/04/2021,FG ESTATES TOM DEL A SALARY COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210606,INSTANT MANAGED OFFICES,"£116,587"
Apr. Transparency 394,28/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,35S17C01889/CL/20Q04/28,THE BIG LOTTERY FUND,"£115,915"
Apr. Transparency 395,28/04/2021,DIG - SDX DEL P,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,INV02903495,SOFTCAT PLC,"£115,457"
Apr. Transparency 396,19/04/2021,OPS CFC DEBT INVESTMENT,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - DEBT COLLECTION,30008852,INDESSER,"£113,886"
Apr. Transparency 397,15/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,06S16C00950/CL/19Q04/24,DEPARTMENT FOR WORK & PENSIONS,"£113,333"
Apr. Transparency 398,01/04/2021,OPS CFC DISCRETE BUDGET CONTROL,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - CONTRACTED OUT OFFICE,1800089977,ENGIE SERVICES LTD,"£112,179"
Apr. Transparency 399,14/04/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,3780118388,COMPUTACENTER UK LTD,"£112,118"
Apr. Transparency 400,08/04/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,AP12665-006,MORRIS & SPOTTISWOOD,"£111,719"
Apr. Transparency 401,28/04/2021,DIG LM CASELOAD MANAGEMENT ACCELERATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,8001739158,DELOITTE LLP,"£111,435"
Apr. Transparency 402,06/04/2021,CHG INTEGRATED SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,ATW-001,DIFRENT LTD,"£109,860"
Apr. Transparency 403,06/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,05S17P01622/CL/20Q03/16,ESF SKILLS HUB,"£109,501"
Apr. Transparency 404,06/04/2021,DIG PLATFORMS FRAUD & ERROR REFRESH SPEND,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONFERENCING,1292378,STONE COMPUTERS LTD,"£109,363"
Apr. Transparency 405,14/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,23S17C01965/CL/20Q03/21,GLA CFO 2014 20 ESF PROGRAMME,"£108,989"
Apr. Transparency 406,14/04/2021,DIG DATA ASSET MANAGEMENT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110272678,CAPGEMINI UK PLC,"£107,755"
Apr. Transparency 407,06/04/2021,DIG UNIFIED COMMS SERVICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,I761,SYMITY LTD,"£107,569"
Apr. Transparency 408,01/04/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3882973011,COMPUTACENTER UK LTD,"£107,434"
Apr. Transparency 409,06/04/2021,DIG UNIFIED COMMS SERVICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,0000001762,SYMITY LTD,"£106,680"
Apr. Transparency 410,06/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,90030,WOOD & WOOD INTERNATIONAL SIGNS LTD,"£106,042"
Apr. Transparency 411,16/04/2021,DIG ITLR - TELEPHONY - PSNT - DELA,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING TELEPHONY,97610289,VODAFONE LTD,"£105,003"
Apr. Transparency 412,21/04/2021,OPS DD DIRECTOR,EXP - PURCHASE OF GOODS/SERVICES - CLINICAL & MEDICAL,AINV-100425,ADVANCED PERSONNEL MANAGEMENT GROUP UK LTD,"£104,848"
Apr. Transparency 413,01/04/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,AP12665-005,MORRIS & SPOTTISWOOD,"£103,220"
Apr. Transparency 414,13/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,11S16C00934/CL/20Q03/27,DEPARTMENT FOR WORK & PENSIONS,"£103,172"
Apr. Transparency 415,27/04/2021,FG CS HS HDAS NON CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5584361623,ATOS ORIGIN IT SERVICES UK LTD,"£102,000"
Apr. Transparency 416,14/04/2021,DIG CSO-01 SSTRATEGIC SECURITY OPERATIONS CENTRE (SSOC),EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,21331001278,AKAMAI TECHNOLOGIES,"£101,353"
Apr. Transparency 417,14/04/2021,FG CSO CHIEF SECURITY OFFICER,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,20112667,GARTNER,"£100,800"
Apr. Transparency 418,14/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - BUILDING SERVICE CHARGES,TCM6808,MCBAINS LTD,"£100,562"
Apr. Transparency 419,08/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,29S18P02797/CL/19Q04/05,SOLENT APPRENTICESHIP HUB,"£99,811"
Apr. Transparency 420,28/04/2021,DIG CITIZEN INFORMATION - STRATEGIC ARA DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5804210974,IBM UNITED KINGDOM LTD,"£99,793"
Apr. Transparency 421,09/04/2021,FG CHES PIP,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,PR-2021-022,INVOLVE VISUAL COLLABORATION LTD,"£99,600"
Apr. Transparency 422,26/04/2021,DIG ECMS PROJECT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110273870,CAPGEMINI UK PLC,"£98,993"
Apr. Transparency 423,06/04/2021,"DIG TECH PLATFORM FIN, COMM & HR CORE",EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,1797729,ORACLE CORPORATION UK LTD,"£98,750"
Apr. Transparency 424,14/04/2021,DIG ITLR SOFTWARE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,4400051450,ADOBE SYSTEMS SOFTWARE IRELAND LTD,"£98,350"
Apr. Transparency 425,28/04/2021,DIG CONTACT CENTRE MAINTENANCE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING - CONNECTIVITY,564435,BT GLOBAL SERVICES,"£97,983"
Apr. Transparency 426,29/04/2021,HR SHARED SERVICES,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - HR,100023158,SHARED SERVICES CONNECTED LTD,"£97,673"
Apr. Transparency 427,14/04/2021,DIG EMAIL & OFFICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,3882984286,COMPUTACENTER UK LTD,"£97,440"
Apr. Transparency 428,30/04/2021,"DIG ENGAGEMENT, ADOPTION & RELEASE SERVICE",EXP - PURCHASE OF GOODS/SERVICES - HOSTING,A33575,MODIS INTERNATIONAL LTD,"£97,085"
Apr. Transparency 429,08/04/2021,CHG DIGITAL DEBT MANAGEMENT SERVICE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,724265,FAIR ISAAC SERVICES LTD,"£96,876"
Apr. Transparency 430,22/04/2021,HR SPECIALIST TALENT ACQUISITION & RECRUITMENT,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - RECRUITMENT,78110870952,LINKEDIN IRELAND,"£96,658"
Apr. Transparency 431,20/04/2021,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5804210371,IBM UK LTD,"£96,284"
Apr. Transparency 432,30/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,1504501,OVERBURY PLC,"£96,163"
Apr. Transparency 433,28/04/2021,DIG CITIZEN INFORMATION - STRATEGIC ARA DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,2600110274246,CAPGEMINI UK PLC,"£95,955"
Apr. Transparency 434,13/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,31S16C00940/CL/20Q03/27,DEPARTMENT FOR WORK & PENSIONS,"£95,703"
Apr. Transparency 435,16/04/2021,SE CE CUSTOMER INSIGHT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003500611,ACCENTURE UK LTD,"£95,629"
Apr. Transparency 436,06/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,23S20P04200/CL/20Q04/04,GENERATION ESF,"£94,765"
Apr. Transparency 437,29/04/2021,DIG OMNI CHANNEL TRANSFORMATION,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003504233A,ACCENTURE UK LTD,"£94,693"
Apr. Transparency 438,28/04/2021,DIG CHANNELS SERVICES IN LIEU,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003504216,ACCENTURE UK LTD,"£94,372"
Apr. Transparency 439,06/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,23S19P04058/CL/20Q04/05,HOSPITALITY PATHWAYS,"£94,051"
Apr. Transparency 440,20/04/2021,DIG WORKPLACE COMPUTING SERVICE,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,3882999165,COMPUTACENTER UK LTD,"£93,496"
Apr. Transparency 441,06/04/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3882976985,COMPUTACENTER UK LTD,"£93,348"
Apr. Transparency 442,28/04/2021,DIG BULK PRINT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,GB046-180002120,WILLIAMS LEA CCM LTD,"£93,146"
Apr. Transparency 443,26/04/2021,WWEG CEP IPES CPA 2 NORTH EAST ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138089,REED IN PARTNERSHIP LTD,"£93,024"
Apr. Transparency 444,26/04/2021,EP CEP PHASE 2 NEA NB CPA10 NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138094,PEOPLEPLUS GROUP LTD,"£93,001"
Apr. Transparency 445,27/04/2021,DIG CONTACT CENTRE MAINTENANCE NGCC2022 DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV-1534,HIPPO DIGITAL LTD,"£93,000"
Apr. Transparency 446,14/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,23S17C02060/CL/20Q03/15,SOUTH LONDON WORK & HEALTH PROGRAMME,"£92,522"
Apr. Transparency 447,23/04/2021,FG CS HS PIP LOT 2,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP GP FACTUAL,700131032021,CAPITA BUSINESS SERVICES LTD,"£92,192"
Apr. Transparency 448,14/04/2021,DIG WORKPLACE COMPUTING SERVICE,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,3882986567,COMPUTACENTER UK LTD,"£91,663"
Apr. Transparency 449,15/04/2021,DIG WORKPLACE COMPUTING SERVICE,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,3882993938,COMPUTACENTER UK LTD,"£91,663"
Apr. Transparency 450,06/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,08S20P04175/CL/20Q04/04/2,IPROGRAMME ESF,"£91,474"
Apr. Transparency 451,23/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210501,INSTANT MANAGED OFFICES,"£90,724"
Apr. Transparency 452,26/04/2021,EP CEP PHASE 2 NEA NB CPA11 SCOTLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138095,PEOPLEPLUS GROUP LTD,"£90,442"
Apr. Transparency 453,08/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,53106,FES SUPPORT SERVICES LTD,"£90,209"
Apr. Transparency 454,28/04/2021,WWEG WP FG CEP ESF1420 HERTFORDSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138192,REED IN PARTNERSHIP LTD,"£90,191"
Apr. Transparency 455,07/04/2021,DIG - LEGACY SUPPORT DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,5803211481,IBM UNITED KINGDOM LTD,"£90,000"
Apr. Transparency 456,30/04/2021,DIG - LEGACY SUPPORT DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,5804210981,IBM UNITED KINGDOM LTD,"£90,000"
Apr. Transparency 457,28/04/2021,DIG LABOUR MARKET DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110274244,CAPGEMINI UK PLC,"£89,824"
Apr. Transparency 458,28/04/2021,DIG TECH PLATFORM CIS BAU,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5804210970,IBM UNITED KINGDOM LTD,"£89,768"
Apr. Transparency 459,07/04/2021,DIG MS OFFICE SERVICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP-APP3-06,UBDS IT CONSULTING LTD,"£89,285"
Apr. Transparency 460,19/04/2021,DIG TBPS PROJECT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,9002444462,OPEN TEXT UK LTD,"£89,031"
Apr. Transparency 461,07/04/2021,OPS DD DIRECTOR,EXP - PURCHASE OF GOODS/SERVICES - CLINICAL & MEDICAL,AINV-100383,ADVANCED PERSONNEL MANAGEMENT GROUP UK LTD,"£88,870"
Apr. Transparency 462,01/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,31S17P01971,TIME2GROW,"£88,458"
Apr. Transparency 463,27/04/2021,FG SPC FG SECURITY  POLICY & COMPLIANCE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110273820,CAPGEMINI UK PLC,"£88,182"
Apr. Transparency 464,19/04/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,92260755,MITIE PROPERTY SERVICES UK LTD,"£87,691"
Apr. Transparency 465,06/04/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3882980001,COMPUTACENTER UK LTD,"£86,783"
Apr. Transparency 466,14/04/2021,DIG IDENTITY SERVICE,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,800,CAVENDISH WOOD LTD,"£86,040"
Apr. Transparency 467,09/04/2021,WWEG WP FG CEP ESF1420 FAM LONDON NTH & EAST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,137862,SERCO LTD,"£85,785"
Apr. Transparency 468,29/04/2021,DIG DESKTOP SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,90025637,IVANTI UK LTD,"£85,313"
Apr. Transparency 469,29/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,10256379,KIER CONSTRUCTION LTD,"£85,202"
Apr. Transparency 470,26/04/2021,WWEG CEP IPES CPA 5 LONDON AND THE HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138107,SHAW TRUST,"£85,030"
Apr. Transparency 471,27/04/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,i197497,WAGSTAFF BROS LTD T/A WAGSTAFF INTERIORS GROUP,"£84,870"
Apr. Transparency 472,16/04/2021,FG CD REPROGRAPHICS,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,7295632,UK MAIL,"£84,843"
Apr. Transparency 473,23/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210608,INSTANT MANAGED OFFICES,"£84,734"
Apr. Transparency 474,14/04/2021,DIG EUCS-06 DASHBOARD,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,2600110272850,CAPGEMINI UK PLC,"£84,560"
Apr. Transparency 475,14/04/2021,CHG UC DIGITAL SERVICES-RECURRENT,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,INV02886925,SOFTCAT PLC,"£84,089"
Apr. Transparency 476,22/04/2021,DWP GENERIC LEARNING,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,16947,BABINGTON BUSINESS COLLEGE LTD,"£84,000"
Apr. Transparency 477,06/04/2021,DIG INTEGRATION STAFFING,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,0000000160,ZALAM LTD,"£83,750"
Apr. Transparency 478,19/04/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,PSINV03092988,CDW LTD,"£83,616"
Apr. Transparency 479,19/04/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,PSINV03102922,CDW LTD,"£83,616"
Apr. Transparency 480,19/04/2021,DIG PLATFORMS BUSINESS GENERATED CHANGE DISCRETE SPEND,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,INV-2275,FIVIUM LTD,"£83,257"
Apr. Transparency 481,27/04/2021,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,EUINGB21-1001002,AMAZON WEB SERVICES EMEA SARL,"£82,618"
Apr. Transparency 482,28/04/2021,DIG BULK PRINT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,GB046-180002106,WILLIAMS LEA CCM LTD,"£82,280"
Apr. Transparency 483,23/04/2021,COMMS OTHER,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - RES'H/EVAL,Q461367,NLA MEDIA ACCESS LTD,"£82,278"
Apr. Transparency 484,07/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,92236492,MITIE PROPERTY SERVICES UK LTD,"£81,682"
Apr. Transparency 485,30/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,1504505,OVERBURY PLC,"£81,483"
Apr. Transparency 486,14/04/2021,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,0000081844,SOL TEC LTD,"£81,200"
Apr. Transparency 487,29/04/2021,CHG CONTRACTED EMPLOYMENT PROVISION,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5804211091,IBM UNITED KINGDOM LTD,"£80,896"
Apr. Transparency 488,26/04/2021,DIG CHILD R&B & CF BUSINESS SERVICES - PEOPLE DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003504210,ACCENTURE UK LTD,"£80,894"
Apr. Transparency 489,23/04/2021,DIG ITLR SOFTWARE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,6604049168,SAP UK LTD,"£80,682"
Apr. Transparency 490,08/04/2021,DIG - NETWORK TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP-NZTN-2,UBDS IT CONSULTING LTD,"£80,509"
Apr. Transparency 491,26/04/2021,DIG CHILDREN  - LIVE SERVICE DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003504249,ACCENTURE UK LTD,"£79,911"
Apr. Transparency 492,22/04/2021,DIG ACCESSIBILITY SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,5248140,INSIGHT DIRECT UK LTD,"£79,793"
Apr. Transparency 493,19/04/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - RECURRENT PUBLICITY,INV-MCS-00005172,M&C SAATCHI UK LTD,"£79,571"
Apr. Transparency 494,14/04/2021,DIG ITLR SOFTWARE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,4600077334,ADOBE SYSTEMS SOFTWARE IRELAND LTD,"£79,454"
Apr. Transparency 495,30/04/2021,"DIG ENGAGEMENT, ADOPTION & RELEASE SERVICE",EXP - PURCHASE OF GOODS/SERVICES - HOSTING,A33198,MODIS INTERNATIONAL LTD,"£79,201"
Apr. Transparency 496,16/04/2021,DIG SPECIALIST & ENGINEERING DEVICE SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,INV02890573,SOFTCAT PLC,"£79,128"
Apr. Transparency 497,07/04/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,E00685,MANNING GOTTLIEB OMD,"£78,549"
