Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Other programme expenditure,GLOBAL AND PUBLIC HEALTH,THERMO FISHER DIAGNOSTICS LTD,8010506044," 101,760.00 ",,PA4 9RE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,THERMO FISHER DIAGNOSTICS LTD,8010502514," 185,856.23 ",,PA4 9RE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2020,Training (Learning and Development),COMMUNITY CARE,THINK AHEAD,10020," 429,707.00 ",,WC2N 6DF,VCS,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/10/2020,Essential Meds SPG - Additions,COMMUNITY CARE,Tillotts Pharma UK Ltd,54," 632,152.62 ",,,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,16/10/2020,Storage costs,GLOBAL AND PUBLIC HEALTH,TITAN AIRWAYS LTD,810022," 1,000.00 ",,CM24 1RN,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,16/10/2020,Storage costs,GLOBAL AND PUBLIC HEALTH,TITAN AIRWAYS LTD,810022," 86,950.00 ",,CM24 1RN,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,25/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,TOFFELN LTD,564800," 50,270.00 ",,BS15 4FW,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,25/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,TOFFELN LTD,564802," 2,234,730.00 ",,BS15 4FW,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,01/10/2020,Revenue Grants to non-profit institutions,ACUTE CARE AND WORKFORCE,TOMMYS,ERS-645349-196981," 90,500.00 ",,EC4R 0BB,VCS,,,,,
Department of Health and Social Care,Department of Health and Social Care,23/10/2020,School Fruit and Veg Scheme,GLOBAL AND PUBLIC HEALTH,Total Produce (Gateshead),NLAND2010," 25,238.14 ",,,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,23/10/2020,School Fruit and Veg Scheme,GLOBAL AND PUBLIC HEALTH,Total Produce (Gateshead),COU2010," 40,625.13 ",,,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,14/10/2020,School Fruit and Veg Scheme,GLOBAL AND PUBLIC HEALTH,Total Produce (Hereford),H20090738937," 54,738.58 ",,,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,14/10/2020,School Fruit and Veg Scheme,GLOBAL AND PUBLIC HEALTH,Total Produce (Hereford),H20090738885," 55,884.50 ",,,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,14/10/2020,School Fruit and Veg Scheme,GLOBAL AND PUBLIC HEALTH,Total Produce (Hereford),H20090738916," 57,593.55 ",,,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Revenue Grants to local authorities,GLOBAL AND PUBLIC HEALTH,TOWER HAMLETS LONDON BOROUGH COUNCIL,ERS-647535-198561," 974,235.00 ",,E2 0HQ,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Revenue Grants to local authorities,GLOBAL AND PUBLIC HEALTH,TRAFFORD METROPOLITAN BOROUGH COUNCIL,ERS-647536-198562," 1,898,832.00 ",,M32 0YY,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,06/10/2020,IT minor costs non capital,FINANCE AND GROUP OPERATIONS,TRUSTMARQUE SOLUTIONS LTD,2306260," 315,460.80 ",,SW1P 1QT,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/10/2020,Revenue Grants to non-profit institutions,GLOBAL AND PUBLIC HEALTH,UK BIOBANK LTD,ERS-646538-197861," 410,635.00 ",,SK3 0SA,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UK BIOCENTRE LTD,2874," 5,530,693.54 ",,SK3 0SA,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,14/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UK-CHINA TRADING LTD,INV-1570, 406.40 ,PPE - Masks,EH14 7BY,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,05/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UK-CHINA TRADING LTD,INV-1557," 1,524,000.00 ",PPE - Masks,EH14 7BY,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UK-CHINA TRADING LTD,INV-1563," 1,524,000.00 ",PPE - Masks,EH14 7BY,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,14/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UK-CHINA TRADING LTD,INV-1570," 2,032,000.00 ",PPE - Masks,EH14 7BY,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,07/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNA HEALTH LTD,29150," 3,600,000.00 ",,ST6 4HN,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON027," 58,555.60 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,05/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON009," 451,825.38 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON027," 3,021,746.49 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON027," 118,101.98 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON027," 548,969.89 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON024," 5,507,134.25 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON021," 2,283,256.38 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,07/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON010," 5,606,295.98 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON027," 457,640.54 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON027," 27,500.00 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON027," 6,125.00 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,31/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON035," 31,039.50 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON027," 45,949.50 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,31/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON036," 465,507.00 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,05/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON016," 5,498,921.00 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,31/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON035," 465,507.00 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,05/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON014," 22,570.00 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON027," 25,100.00 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,31/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON037," 258,925.00 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,05/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON011," 1,320,390.00 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON027," 360,000.00 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,20/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON019," 3,106,218.00 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,20/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON018," 3,170,262.50 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON030," 5,305,129.00 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON020," 5,739,742.29 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON028," 5,795,779.25 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON025," 6,065,141.25 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON026," 6,127,924.50 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON031," 8,076,532.00 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON023," 8,607,313.75 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON029," 9,684,201.50 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON022," 10,654,180.75 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,05/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON015," 7,037,312.50 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,05/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON017," 27,500.00 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON027," 202,310.75 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,07/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON010," 146,710.40 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,31/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON013," 320,000.00 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,31/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON032," 2,944,811.75 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,31/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON034," 5,130,581.25 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,31/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON033," 6,209,552.50 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,31/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISERVE LTD,MCON038," 8,656,817.25 ",,RM14 1AL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,05/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,53620UK," 386,400.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,05/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,53620UK," 515,200.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,05/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,53620UK," 386,400.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,55420UK," 83,720.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,54820UK," 334,880.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,55220UK," 167,440.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,53520UK," 167,440.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,55420UK," 167,440.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,52120UK," 669,760.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,52820UK," 669,760.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,54820UK," 669,760.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,55220UK," 167,440.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,55420UK," 167,440.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,53520UK," 251,160.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,52120UK," 334,880.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,52820UK," 656,880.10 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,54820UK," 669,760.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,55220UK," 83,720.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,52820UK," 347,759.90 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,52120UK," 669,760.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,52420UK," 167,440.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,52420UK," 167,440.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,05/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,51220UK," 386,400.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,05/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,51220UK," 386,400.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,52420UK," 83,720.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,55020UK," 141,331.20 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,50620UK," 282,662.40 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,05/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,53820UK," 282,662.40 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,23/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,54320UK," 706,656.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,55020UK," 259,107.20 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,50620UK," 518,214.40 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,05/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,53820UK," 518,214.40 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,23/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,54320UK," 1,295,536.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,55020UK," 70,665.60 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,50620UK," 141,331.20 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,05/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,53820UK," 141,331.20 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,23/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,54320UK," 353,328.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,51720UK," 193,200.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,31/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,56020UK," 193,200.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,52520UK," 322,000.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,52720UK," 334,880.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,23/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,55320UK," 386,400.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,51920UK," 721,280.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,05/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,52920UK," 1,915,095.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,52520UK," 196,420.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,31/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,56020UK," 196,420.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,05/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,52920UK," 338,905.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,23/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,55320UK," 392,839.99 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,52720UK," 428,260.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,51720UK," 563,500.00 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,05/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,UNISPACE GLOBAL HEALTH,53920UK," 648,830.02 ",PPE - Gloves,E1W 1JP,LARGE,,,,,
